,trip_id,vehicle_id,route_id,stop_id,time_of_day,dist_along_route,stop_num_from_call
0,MA_A6-Weekday-SDon-042500_X1011_602,2856.0,X11,901108.0,12:00:00,12.8801574803,21.0
1,CA_A6-Weekday-SDon-037500_MISC_433,2582.0,X11,901108.0,12:00:00,18004.1350794,0.0
2,CA_A6-Weekday-SDon-041000_X1011_309,2225.0,X11,901108.0,12:00:00,993.487765957,18.0
3,MA_A6-Weekday-SDon-039500_X1011_601,2862.0,X11,901108.0,12:00:00,7069.81210526,3.0
0,MA_A6-Weekday-SDon-042500_X1011_602,2856.0,X11,901108.0,12:05:00,23.88,21.0
1,CA_A6-Weekday-SDon-037500_MISC_433,2582.0,X11,901108.0,12:05:00,20157.6451938,0.0
2,CA_A6-Weekday-SDon-041000_X1011_309,2225.0,X11,901108.0,12:05:00,3043.51712,13.0
3,MA_A6-Weekday-SDon-039500_X1011_601,2862.0,X11,901108.0,12:05:00,8147.432,0.0
0,MA_A6-Weekday-SDon-042500_X1011_602,2856.0,X11,901108.0,12:10:00,1097.41612903,18.0
1,CA_A6-Weekday-SDon-037500_MISC_433,2582.0,X11,901108.0,12:10:00,24936.0987097,0.0
2,CA_A6-Weekday-SDon-041000_X1011_309,2225.0,X11,901108.0,12:10:00,4326.305625,11.0
3,MA_A6-Weekday-SDon-039500_X1011_601,2862.0,X11,901108.0,12:10:00,9794.6815625,0.0
0,MA_A6-Weekday-SDon-042500_X1011_602,2856.0,X11,901108.0,12:15:00,2920.79333333,15.0
1,CA_A6-Weekday-SDon-037500_MISC_433,2582.0,X11,901108.0,12:15:00,28604.8990476,0.0
2,CA_A6-Weekday-SDon-041000_X1011_309,2225.0,X11,901108.0,12:15:00,5713.28758065,7.0
3,MA_A6-Weekday-SDon-039500_X1011_601,2862.0,X11,901108.0,12:15:00,12160.428254,0.0
0,CA_A6-Weekday-SDon-043500_X1011_315,2657.0,X11,901108.0,12:20:00,341.168842105,20.0
1,MA_A6-Weekday-SDon-042500_X1011_602,2856.0,X11,901108.0,12:20:00,3837.59,12.0
2,CA_A6-Weekday-SDon-041000_X1011_309,2225.0,X11,901108.0,12:20:00,7274.84893617,3.0
