,segment_start,segment_end,segment_pair,travel_duration
0,901111, 402143,"(901111, 402143)",265.176322589
1,805037, 805039,"(805037, 805039)",166.369214447
2,805033, 805035,"(805033, 805035)",206.353785683
3,203617, 203810,"(203617, 203810)",68.7118406639
4,805034, 805037,"(805034, 805037)",143.51486394
5,803074, 803074,"(803074, 803074)",32.0
6,402228, 402229,"(402228, 402229)",123.14060531
7,905030, 400186,"(905030, 400186)",184.856123449
8,402144, 402144,"(402144, 402144)",153.5
9,203611, 203612,"(203611, 203612)",108.616410522
10,400744, 404326,"(400744, 404326)",127.177028242
11,201933, 201934,"(201933, 201934)",84.4357561781
12,200428, 203884,"(200428, 203884)",48.3214768668
13,201499, 201730,"(201499, 201730)",84.2406742567
14,400070, 404887,"(400070, 404887)",335.0
15,901114, 805034,"(901114, 805034)",154.196452433
16,901171, 805039,"(901171, 805039)",124.0
17,404326, 402233,"(404326, 402233)",116.69445069
18,203052, 203052,"(203052, 203052)",41.0
19,203724, 203343,"(203724, 203343)",140.163120809
20,901111, 903205,"(901111, 903205)",491.0
21,203609, 203610,"(203609, 203610)",84.6828474
22,203884, 200430,"(203884, 200430)",36.5559105385
23,903205, 903205,"(903205, 903205)",43.8333333333
24,905020, 905020,"(905020, 905020)",113.0
25,203610, 203611,"(203610, 203611)",83.6273336792
26,201492, 201495,"(201492, 201495)",75.155119197
27,404890, 404887,"(404890, 404887)",218.0
28,402144, 402145,"(402144, 402145)",171.407657004
29,903205, 805035,"(903205, 805035)",35.0
30,402227, 402228,"(402227, 402228)",91.7094944737
31,201940, 201942,"(201940, 201942)",50.5514153676
32,901171, 805038,"(901171, 805038)",140.0
33,202941, 203052,"(202941, 203052)",117.774472917
34,202647, 200316,"(202647, 200316)",35.0
35,201495, 200316,"(201495, 200316)",106.0
36,400186, 400354,"(400186, 400354)",187.712368436
37,901171, 903205,"(901171, 903205)",198.15160921
38,203723, 203724,"(203723, 203724)",81.9870649336
39,202647, 203809,"(202647, 203809)",63.6911558567
40,405043, 203724,"(405043, 203724)",56.0
41,404890, 404890,"(404890, 404890)",48.0
42,404850, 803074,"(404850, 803074)",83.5192330639
43,805033, 805033,"(805033, 805033)",325.0
44,201942, 201944,"(201942, 201944)",81.0418560101
45,903205, 405043,"(903205, 405043)",189.19691454
