,trip_id,vehicle_id,route_id,stop_id,time_of_day,date,dist_along_route,stop_num_from_call
0,MA_A6-Weekday-SDon-039500_X1011_601,2903.0,X11,203611.0,12:00:00,20160125,6509.32952381,0.0
0,MA_A6-Weekday-SDon-039500_X1011_601,2903.0,X11,203614.0,12:00:00,20160125,6509.32952381,3.0
0,MA_A6-Weekday-SDon-039500_X1011_601,2903.0,X11,203614.0,12:05:00,20160125,7869.85,1.0
0,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,203456.0,12:00:00,20160125,1233.33809524,13.0
1,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,203456.0,12:00:00,20160125,4498.70112903,2.0
0,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,405043.0,12:00:00,20160125,1233.33809524,34.0
1,CA_A6-Weekday-SDon-036300_X14_304,2647.0,X14,405043.0,12:00:00,20160125,18038.7777778,2.0
2,CA_A6-Weekday-SDon-037800_X14_305,2221.0,X14,405043.0,12:00:00,20160125,9544.695,11.0
3,CA_A6-Weekday-SDon-039000_X14_306,2224.0,X14,405043.0,12:00:00,20160125,5928.17483871,20.0
4,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,405043.0,12:00:00,20160125,4498.70112903,23.0
0,CA_A6-Weekday-SDon-039000_X14_306,2224.0,X14,405043.0,12:05:00,20160125,7103.17042672,2.0
1,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,405043.0,12:05:00,20160125,2644.83681567,2.0
2,CA_A6-Weekday-SDon-036300_X14_304,2647.0,X14,405043.0,12:05:00,20160125,22637.3107692,2.0
3,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,405043.0,12:05:00,20160125,6020.32746032,20.0
0,CA_A6-Weekday-SDon-039000_X14_306,2224.0,X14,405043.0,12:10:00,20160125,9602.22344397,2.0
1,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,405043.0,12:10:00,20160125,4494.1343891,2.0
2,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,405043.0,12:10:00,20160125,8608.79721276,2.0
0,CA_A6-Weekday-SDon-039000_X14_306,2224.0,X14,405043.0,12:15:00,20160125,12101.2764612,2.0
1,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,405043.0,12:15:00,20160125,6343.43196254,2.0
2,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,405043.0,12:15:00,20160125,11200.6740149,2.0
0,CA_A6-Weekday-SDon-039000_X14_306,2224.0,X14,405043.0,12:20:00,20160125,14600.3294784,2.0
1,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,405043.0,12:20:00,20160125,8192.72953597,2.0
2,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,405043.0,12:20:00,20160125,13792.550817,2.0
0,CA_A6-Weekday-SDon-039000_X14_306,2224.0,X14,405043.0,12:25:00,20160125,17099.3824957,2.0
1,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,405043.0,12:25:00,20160125,10042.0271094,2.0
2,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,405043.0,12:25:00,20160125,16384.427619,2.0
0,CA_A6-Weekday-SDon-039000_X14_306,2224.0,X14,405043.0,12:30:00,20160125,19598.4355129,2.0
1,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,405043.0,12:30:00,20160125,11891.3246828,2.0
2,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,405043.0,12:30:00,20160125,18976.3044211,2.0
0,CA_A6-Weekday-SDon-037800_X14_305,2221.0,X14,903205.0,12:00:00,20160125,9544.695,10.0
1,CA_A6-Weekday-SDon-036300_X14_304,2647.0,X14,903205.0,12:00:00,20160125,18038.7777778,1.0
2,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,903205.0,12:00:00,20160125,1233.33809524,33.0
3,CA_A6-Weekday-SDon-039000_X14_306,2224.0,X14,903205.0,12:00:00,20160125,5928.17483871,19.0
4,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,903205.0,12:00:00,20160125,4498.70112903,22.0
0,CA_A6-Weekday-SDon-039000_X14_306,2224.0,X14,903205.0,12:05:00,20160125,7103.17042672,1.0
1,CA_A6-Weekday-SDon-036300_X14_304,2647.0,X14,903205.0,12:05:00,20160125,22637.3107692,1.0
2,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,903205.0,12:05:00,20160125,6020.32746032,19.0
3,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,903205.0,12:05:00,20160125,2644.83681567,1.0
0,CA_A6-Weekday-SDon-039000_X14_306,2224.0,X14,903205.0,12:10:00,20160125,9602.22344397,1.0
1,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,903205.0,12:10:00,20160125,8608.79721276,1.0
2,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,903205.0,12:10:00,20160125,4494.1343891,1.0
0,CA_A6-Weekday-SDon-039000_X14_306,2224.0,X14,903205.0,12:15:00,20160125,12101.2764612,1.0
1,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,903205.0,12:15:00,20160125,11200.6740149,1.0
2,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,903205.0,12:15:00,20160125,6343.43196254,1.0
0,CA_A6-Weekday-SDon-039000_X14_306,2224.0,X14,903205.0,12:20:00,20160125,14600.3294784,1.0
1,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,903205.0,12:20:00,20160125,13792.550817,1.0
2,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,903205.0,12:20:00,20160125,8192.72953597,1.0
0,CA_A6-Weekday-SDon-039000_X14_306,2224.0,X14,903205.0,12:25:00,20160125,17099.3824957,1.0
1,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,903205.0,12:25:00,20160125,16384.427619,1.0
2,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,903205.0,12:25:00,20160125,10042.0271094,1.0
0,CA_A6-Weekday-SDon-039000_X14_306,2224.0,X14,903205.0,12:30:00,20160125,19598.4355129,1.0
1,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,903205.0,12:30:00,20160125,18976.3044211,1.0
2,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,903205.0,12:30:00,20160125,11891.3246828,1.0
0,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,803071.0,12:00:00,20160125,1233.33809524,40.0
