,segment_start,segment_end,segment_pair,time_of_day,day_of_week,date,weather,trip_id,travel_duration
0,200428.0,203884.0,"(200428, 203884)",11:20:27,1.0,20160105.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,48.5
1,203884.0,200430.0,"(203884, 200430)",11:21:15,1.0,20160105.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,48.5
0,200428.0,203884.0,"(200428, 203884)",11:21:18,2.0,20160106.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,77.5
1,203884.0,200430.0,"(203884, 200430)",11:22:35,2.0,20160106.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,77.5
0,203884.0,200430.0,"(203884, 200430)",11:23:17,3.0,20160107.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,25.5
1,200430.0,203605.0,"(200430, 203605)",11:23:42,3.0,20160107.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,25.5
0,203884.0,200430.0,"(203884, 200430)",11:23:15,4.0,20160108.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,19.0
1,200430.0,203605.0,"(200430, 203605)",11:23:34,4.0,20160108.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,19.0
0,200428.0,203884.0,"(200428, 203884)",11:20:34,0.0,20160111.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,130.854945
0,203884.0,200430.0,"(203884, 200430)",11:23:03,1.0,20160112.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,23.0
1,200430.0,203605.0,"(200430, 203605)",11:23:26,1.0,20160112.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,23.0
0,200428.0,203884.0,"(200428, 203884)",11:21:45,2.0,20160113.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,48.0
1,203884.0,200430.0,"(203884, 200430)",11:22:33,2.0,20160113.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,48.0
0,200428.0,203884.0,"(200428, 203884)",11:20:17,3.0,20160114.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,47.5
1,203884.0,200430.0,"(203884, 200430)",11:21:04,3.0,20160114.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,47.5
0,200428.0,203884.0,"(200428, 203884)",11:20:00,4.0,20160115.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,35.0
1,203884.0,200430.0,"(203884, 200430)",11:20:35,4.0,20160115.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,35.0
2,200430.0,203605.0,"(200430, 203605)",11:21:10,4.0,20160115.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,35.0
0,200428.0,203884.0,"(200428, 203884)",11:22:00,1.0,20160119.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,69.81364
0,200428.0,203884.0,"(200428, 203884)",11:23:26,2.0,20160120.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,48.0
1,203884.0,200430.0,"(203884, 200430)",11:24:14,2.0,20160120.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,48.0
0,200428.0,203884.0,"(200428, 203884)",11:25:06,3.0,20160121.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,32.0
1,203884.0,200430.0,"(203884, 200430)",11:25:38,3.0,20160121.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,32.0
2,200430.0,203605.0,"(200430, 203605)",11:26:10,3.0,20160121.0,0.0,CA_A6-Weekday-SDon-037800_X14_305,32.0
0,200430.0,203605.0,"(200430, 203605)",11:23:46,4.0,20160122.0,2.0,CA_A6-Weekday-SDon-037800_X14_305,50.331506
0,200430.0,203605.0,"(200430, 203605)",12:07:17,0.0,20160104.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,50.304637
0,200430.0,203605.0,"(200430, 203605)",12:08:00,1.0,20160105.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,64.305221
0,200428.0,203884.0,"(200428, 203884)",12:03:44,2.0,20160106.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,55.509718
0,200428.0,203884.0,"(200428, 203884)",12:02:43,3.0,20160107.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,12.0
1,203884.0,200430.0,"(203884, 200430)",12:02:55,3.0,20160107.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,12.0
0,203605.0,202647.0,"(203605, 202647)",12:05:16,4.0,20160108.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,58.3333333333
1,202647.0,203809.0,"(202647, 203809)",12:06:14,4.0,20160108.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,58.3333333333
2,203809.0,201492.0,"(203809, 201492)",12:07:12,4.0,20160108.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,58.3333333333
0,200430.0,203605.0,"(200430, 203605)",12:09:21,0.0,20160111.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,48.0
1,203605.0,202647.0,"(203605, 202647)",12:10:09,0.0,20160111.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,48.0
2,202647.0,203809.0,"(202647, 203809)",12:10:57,0.0,20160111.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,48.0
3,203809.0,201492.0,"(203809, 201492)",12:11:45,0.0,20160111.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,48.0
0,200428.0,203884.0,"(200428, 203884)",12:02:39,1.0,20160112.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,11.0
1,203884.0,200430.0,"(203884, 200430)",12:02:50,1.0,20160112.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,11.0
0,200316.0,200428.0,"(200316, 200428)",12:01:52,2.0,20160113.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,96.516399
0,200428.0,203884.0,"(200428, 203884)",12:04:01,3.0,20160114.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,31.347687
0,200428.0,203884.0,"(200428, 203884)",12:05:22,4.0,20160115.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,55.887257
0,203884.0,200430.0,"(203884, 200430)",12:08:31,1.0,20160119.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,28.3333333333
1,200430.0,203605.0,"(200430, 203605)",12:08:59,1.0,20160119.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,28.3333333333
2,203605.0,202647.0,"(203605, 202647)",12:09:27,1.0,20160119.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,28.3333333333
0,200428.0,203884.0,"(200428, 203884)",12:08:17,2.0,20160120.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,25.5
1,203884.0,200430.0,"(203884, 200430)",12:08:42,2.0,20160120.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,25.5
0,203605.0,202647.0,"(203605, 202647)",12:04:08,3.0,20160121.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,71.0
1,202647.0,203809.0,"(202647, 203809)",12:05:19,3.0,20160121.0,0.0,CA_A6-Weekday-SDon-042000_X14_309,71.0
0,200430.0,203605.0,"(200430, 203605)",12:04:20,4.0,20160122.0,2.0,CA_A6-Weekday-SDon-042000_X14_309,40.0
1,203605.0,202647.0,"(203605, 202647)",12:05:00,4.0,20160122.0,2.0,CA_A6-Weekday-SDon-042000_X14_309,40.0
2,202647.0,203809.0,"(202647, 203809)",12:05:40,4.0,20160122.0,2.0,CA_A6-Weekday-SDon-042000_X14_309,40.0
0,200430.0,203605.0,"(200430, 203605)",11:55:53,0.0,20160104.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,52.53743
0,200428.0,203884.0,"(200428, 203884)",11:53:53,1.0,20160105.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,44.210883
0,200428.0,203884.0,"(200428, 203884)",11:53:50,2.0,20160106.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,35.5
1,203884.0,200430.0,"(203884, 200430)",11:54:25,2.0,20160106.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,35.5
0,200430.0,203605.0,"(200430, 203605)",11:57:47,3.0,20160107.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,51.434226
0,200428.0,203884.0,"(200428, 203884)",11:54:17,4.0,20160108.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,36.0
1,203884.0,200430.0,"(203884, 200430)",11:54:53,4.0,20160108.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,36.0
0,200428.0,203884.0,"(200428, 203884)",11:55:42,0.0,20160111.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,52.0
1,203884.0,200430.0,"(203884, 200430)",11:56:34,0.0,20160111.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,52.0
0,203884.0,200430.0,"(203884, 200430)",11:54:33,1.0,20160112.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,20.0
1,200430.0,203605.0,"(200430, 203605)",11:54:53,1.0,20160112.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,20.0
0,203884.0,200430.0,"(203884, 200430)",11:55:09,2.0,20160113.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,21.5
1,200430.0,203605.0,"(200430, 203605)",11:55:30,2.0,20160113.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,21.5
0,200430.0,203605.0,"(200430, 203605)",11:54:53,3.0,20160114.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,60.5
1,203605.0,202647.0,"(203605, 202647)",11:55:53,3.0,20160114.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,60.5
0,200428.0,203884.0,"(200428, 203884)",11:54:12,4.0,20160115.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,45.5
1,203884.0,200430.0,"(203884, 200430)",11:54:57,4.0,20160115.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,45.5
0,203605.0,202647.0,"(203605, 202647)",11:55:33,1.0,20160119.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,20.419202
0,200428.0,203884.0,"(200428, 203884)",11:53:20,2.0,20160120.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,68.3333333333
1,203884.0,200430.0,"(203884, 200430)",11:54:28,2.0,20160120.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,68.3333333333
2,200430.0,203605.0,"(200430, 203605)",11:55:36,2.0,20160120.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,68.3333333333
0,203884.0,200430.0,"(203884, 200430)",11:54:47,3.0,20160121.0,0.0,CA_A6-Weekday-SDon-041000_X14_308,12.578631
0,200428.0,203884.0,"(200428, 203884)",11:53:17,4.0,20160122.0,2.0,CA_A6-Weekday-SDon-041000_X14_308,40.5
1,203884.0,200430.0,"(203884, 200430)",11:53:57,4.0,20160122.0,2.0,CA_A6-Weekday-SDon-041000_X14_308,40.5
0,203417.0,202669.0,"(203417, 202669)",11:21:39,0.0,20160118.0,2.0,CA_H6-Weekday-037500_MISC_454,35.604716
