,trip_id,route_id,stop_id,vehicle_id,time_of_day,date,dist_along_route,stop_num_from_call,estimated_arrival_time,actual_arrival_time
0,MA_A6-Weekday-SDon-039500_X1011_601,X11,203611,2903.0,12:00:00,20160125.0,6509.32952381,1.0,64.6632681098,34.0371983914
1,MA_A6-Weekday-SDon-039500_X1011_601,X11,203614,2903.0,12:00:00,20160125.0,6509.32952381,4.0,413.846514769,321.866849454
2,MA_A6-Weekday-SDon-039500_X1011_601,X11,203614,2903.0,12:05:00,20160125.0,7869.85,1.0,84.4549702099,21.8668494538
3,CA_A6-Weekday-SDon-040000_X14_307,X14,203456,2646.0,12:00:00,20160125.0,4498.70112903,3.0,179.246444979,220.924002187
4,CA_A6-Weekday-SDon-041000_X14_308,X14,405043,2213.0,12:00:00,20160125.0,1233.33809524,34.0,3622.93164181,4118.01817033
5,CA_A6-Weekday-SDon-039000_X14_306,X14,405043,2224.0,12:00:00,20160125.0,5928.17483871,20.0,2656.76371193,2946.93093583
6,CA_A6-Weekday-SDon-040000_X14_307,X14,405043,2646.0,12:00:00,20160125.0,4498.70112903,24.0,2952.38182482,3039.58411604
7,CA_A6-Weekday-SDon-039000_X14_306,X14,405043,2224.0,12:05:00,20160125.0,7103.17042672,17.0,2482.106686,2646.93093583
8,CA_A6-Weekday-SDon-041000_X14_308,X14,405043,2213.0,12:05:00,20160125.0,2644.83681567,30.0,3389.3133025,3818.01817033
9,CA_A6-Weekday-SDon-040000_X14_307,X14,405043,2646.0,12:05:00,20160125.0,6020.32746032,20.0,2679.45422807,2739.58411604
10,CA_A6-Weekday-SDon-039000_X14_306,X14,405043,2224.0,12:10:00,20160125.0,9602.22344397,11.0,1765.1071038,2346.93093583
11,CA_A6-Weekday-SDon-041000_X14_308,X14,405043,2213.0,12:10:00,20160125.0,4494.1343891,24.0,2951.42547582,3518.01817033
12,CA_A6-Weekday-SDon-040000_X14_307,X14,405043,2646.0,12:10:00,20160125.0,8608.79721276,13.0,1987.5439806,2439.58411604
13,CA_A6-Weekday-SDon-039000_X14_306,X14,405043,2224.0,12:15:00,20160125.0,12101.2764612,10.0,1680.09688562,2046.93093583
14,CA_A6-Weekday-SDon-041000_X14_308,X14,405043,2213.0,12:15:00,20160125.0,6343.43196254,19.0,2640.89553896,3218.01817033
15,CA_A6-Weekday-SDon-040000_X14_307,X14,405043,2646.0,12:15:00,20160125.0,11200.6740149,10.0,1625.24770301,2139.58411604
16,CA_A6-Weekday-SDon-039000_X14_306,X14,405043,2224.0,12:20:00,20160125.0,14600.3294784,9.0,1470.00508864,1746.93093583
17,CA_A6-Weekday-SDon-041000_X14_308,X14,405043,2213.0,12:20:00,20160125.0,8192.72953597,14.0,2125.1983252,2918.01817033
18,CA_A6-Weekday-SDon-040000_X14_307,X14,405043,2646.0,12:20:00,20160125.0,13792.550817,9.0,1381.94772591,1839.58411604
19,CA_A6-Weekday-SDon-039000_X14_306,X14,405043,2224.0,12:25:00,20160125.0,17099.3824957,6.0,926.937894938,1446.93093583
20,CA_A6-Weekday-SDon-041000_X14_308,X14,405043,2213.0,12:25:00,20160125.0,10042.0271094,11.0,1844.09738081,2618.01817033
21,CA_A6-Weekday-SDon-040000_X14_307,X14,405043,2646.0,12:25:00,20160125.0,16384.427619,8.0,1317.92639091,1539.58411604
22,CA_A6-Weekday-SDon-039000_X14_306,X14,405043,2224.0,12:30:00,20160125.0,19598.4355129,5.0,822.72195783,1146.93093583
23,CA_A6-Weekday-SDon-041000_X14_308,X14,405043,2213.0,12:30:00,20160125.0,11891.3246828,10.0,1667.31024099,2318.01817033
24,CA_A6-Weekday-SDon-040000_X14_307,X14,405043,2646.0,12:30:00,20160125.0,18976.3044211,5.0,790.595785023,1239.58411604
25,CA_A6-Weekday-SDon-037800_X14_305,X14,903205,2221.0,12:00:00,20160125.0,9544.695,11.0,1727.2860919,1825.58536837
26,CA_A6-Weekday-SDon-036300_X14_304,X14,903205,2647.0,12:00:00,20160125.0,18038.7777778,4.0,552.986014494,998.593388703
27,CA_A6-Weekday-SDon-041000_X14_308,X14,903205,2213.0,12:00:00,20160125.0,1233.33809524,33.0,3433.73472727,3981.20443975
28,CA_A6-Weekday-SDon-039000_X14_306,X14,903205,2224.0,12:00:00,20160125.0,5928.17483871,19.0,2467.56679739,2798.97768207
29,CA_A6-Weekday-SDon-040000_X14_307,X14,903205,2646.0,12:00:00,20160125.0,4498.70112903,23.0,2763.18491028,2885.69453139
30,CA_A6-Weekday-SDon-039000_X14_306,X14,903205,2224.0,12:05:00,20160125.0,7103.17042672,16.0,2292.90977146,2498.97768207
31,CA_A6-Weekday-SDon-036300_X14_304,X14,903205,2647.0,12:05:00,20160125.0,22637.3107692,2.0,201.07774136,698.593388703
32,CA_A6-Weekday-SDon-040000_X14_307,X14,903205,2646.0,12:05:00,20160125.0,6020.32746032,19.0,2490.25731353,2585.69453139
33,CA_A6-Weekday-SDon-041000_X14_308,X14,903205,2213.0,12:05:00,20160125.0,2644.83681567,29.0,3200.11638796,3681.20443975
34,CA_A6-Weekday-SDon-039000_X14_306,X14,903205,2224.0,12:10:00,20160125.0,9602.22344397,10.0,1575.91018926,2198.97768207
