,trip_id,route_id,stop_id,vehicle_id,time_of_day,service_date,dist_along_route,stop_num_from_call,estimated_arrival_time,actual_arrival_time,shape_id
0,CA_A6-Weekday-SDon-036000_X21_302,X21,403239.0,2652.0,2016-01-04 12:00:00,20160104.0,47647.7396429,1.0,53.5226460358,291.133652,X210011
1,CA_A6-Weekday-SDon-036000_X21_302,X21,403245.0,2652.0,2016-01-04 12:00:00,20160104.0,47647.7396429,4.0,578.80290837,740.628336,X210011
2,CA_A6-Weekday-SDon-036000_X21_302,X21,403245.0,2652.0,2016-01-04 12:05:00,20160104.0,48579.886875,3.0,509.960067856,440.628336,X210011
3,CA_A6-Weekday-SDon-036000_X21_302,X21,403245.0,2652.0,2016-01-04 12:10:00,20160104.0,49514.8376923,1.0,144.865645186,140.628336,X210011
4,CA_A6-Weekday-SDon-037500_MISC_433,X11,404242.0,2653.0,2016-01-04 12:00:00,20160104.0,20437.6609677,7.0,1616.35961876,1109.293769,X110053
5,CA_A6-Weekday-SDon-037500_MISC_433,X11,404242.0,2653.0,2016-01-04 12:05:00,20160104.0,25424.176129,7.0,1092.64743109,809.293769,X110053
6,CA_A6-Weekday-SDon-037500_MISC_433,X11,404242.0,2653.0,2016-01-04 12:10:00,20160104.0,28694.25,7.0,749.205671588,509.293769,X110053
7,CA_A6-Weekday-SDon-037500_MISC_433,X11,404242.0,2653.0,2016-01-04 12:15:00,20160104.0,29648.3953968,5.0,330.629827418,209.293769,X110053
8,CA_A6-Weekday-SDon-037500_X21_303,X21,403239.0,2584.0,2016-01-04 12:00:00,20160104.0,40989.1775,1.0,450.421838557,1204.822028,X210011
9,CA_A6-Weekday-SDon-037500_X21_303,X21,403239.0,2584.0,2016-01-04 12:05:00,20160104.0,44084.544031,1.0,265.915266366,904.822028,X210011
10,CA_A6-Weekday-SDon-037500_X21_303,X21,403239.0,2584.0,2016-01-04 12:10:00,20160104.0,45887.5356842,1.0,158.443725826,604.822028,X210011
11,CA_A6-Weekday-SDon-037500_X21_303,X21,403239.0,2584.0,2016-01-04 12:15:00,20160104.0,47561.7876224,1.0,58.6460175385,304.822028,X210011
12,CA_A6-Weekday-SDon-037500_X21_303,X21,403245.0,2584.0,2016-01-04 12:00:00,20160104.0,40989.1775,4.0,975.702100892,1749.275731,X210011
13,CA_A6-Weekday-SDon-037500_X21_303,X21,403245.0,2584.0,2016-01-04 12:05:00,20160104.0,44084.544031,4.0,791.1955287,1449.275731,X210011
14,CA_A6-Weekday-SDon-037500_X21_303,X21,403245.0,2584.0,2016-01-04 12:10:00,20160104.0,45887.5356842,4.0,683.72398816,1149.275731,X210011
15,CA_A6-Weekday-SDon-037500_X21_303,X21,403245.0,2584.0,2016-01-04 12:15:00,20160104.0,47561.7876224,4.0,583.926279873,849.275731,X210011
16,CA_A6-Weekday-SDon-037500_X21_303,X21,403245.0,2584.0,2016-01-04 12:20:00,20160104.0,48608.3546875,3.0,497.217671015,549.275731,X210011
17,CA_A6-Weekday-SDon-037500_X21_303,X21,403245.0,2584.0,2016-01-04 12:25:00,20160104.0,49116.8661538,2.0,287.885100256,249.275731,X210011
18,CA_A6-Weekday-SDon-038500_MISC_432,S76,201612.0,8217.0,2016-01-04 12:00:00,20160104.0,10315.4889362,1.0,33.9652685181,83.439729,S760058
19,CA_A6-Weekday-SDon-038500_S93_303,S93,301707.0,7065.0,2016-01-04 12:00:00,20160104.0,10396.1077419,3.0,588.389261414,690.750889,S930077
20,CA_A6-Weekday-SDon-038500_S93_303,S93,301707.0,7065.0,2016-01-04 12:05:00,20160104.0,13389.84875,3.0,257.856374564,390.750889,S930077
21,CA_A6-Weekday-SDon-038500_S93_303,S93,301707.0,7065.0,2016-01-04 12:10:00,20160104.0,14006.9909677,2.0,79.6130868028,90.750889,S930077
22,CA_A6-Weekday-SDon-038500_S93_303,S93,307203.0,7065.0,2016-01-04 12:00:00,20160104.0,10396.1077419,1.0,335.984970739,322.411813,S930077
23,CA_A6-Weekday-SDon-038500_S93_303,S93,307203.0,7065.0,2016-01-04 12:05:00,20160104.0,13389.84875,1.0,5.45208388922,22.411813,S930077
24,CA_A6-Weekday-SDon-039000_MISC_434,X21,403239.0,2587.0,2016-01-04 12:00:00,20160104.0,11621.2132258,2.0,2524.04642012,2520.647182,X210011
25,CA_A6-Weekday-SDon-039000_MISC_434,X21,403239.0,2587.0,2016-01-04 12:05:00,20160104.0,17932.5090323,2.0,1861.84432882,2220.647182,X210011
26,CA_A6-Weekday-SDon-039000_MISC_434,X21,403239.0,2587.0,2016-01-04 12:10:00,20160104.0,24290.7126984,1.0,1445.77294498,1920.647182,X210011
27,CA_A6-Weekday-SDon-039000_MISC_434,X21,403239.0,2587.0,2016-01-04 12:15:00,20160104.0,31460.9392063,1.0,1018.37479954,1620.647182,X210011
28,CA_A6-Weekday-SDon-039000_MISC_434,X21,403239.0,2587.0,2016-01-04 12:20:00,20160104.0,39363.2377778,1.0,547.339784051,1320.647182,X210011
29,CA_A6-Weekday-SDon-039000_MISC_434,X21,403239.0,2587.0,2016-01-04 12:25:00,20160104.0,42129.5953226,1.0,382.444563102,1020.647182,X210011
30,CA_A6-Weekday-SDon-039000_MISC_434,X21,403239.0,2587.0,2016-01-04 12:30:00,20160104.0,44767.414375,1.0,225.211180061,720.647182,X210011
31,CA_A6-Weekday-SDon-039000_MISC_434,X21,403245.0,2587.0,2016-01-04 12:00:00,20160104.0,11621.2132258,5.0,3049.32668245,3106.672493,X210011
32,CA_A6-Weekday-SDon-039000_MISC_434,X21,403245.0,2587.0,2016-01-04 12:05:00,20160104.0,17932.5090323,5.0,2387.12459116,2806.672493,X210011
33,CA_A6-Weekday-SDon-039000_MISC_434,X21,403245.0,2587.0,2016-01-04 12:10:00,20160104.0,24290.7126984,4.0,1971.05320731,2506.672493,X210011
34,CA_A6-Weekday-SDon-039000_MISC_434,X21,403245.0,2587.0,2016-01-04 12:15:00,20160104.0,31460.9392063,4.0,1543.65506187,2206.672493,X210011
35,CA_A6-Weekday-SDon-039000_MISC_434,X21,403245.0,2587.0,2016-01-04 12:20:00,20160104.0,39363.2377778,4.0,1072.62004639,1906.672493,X210011
36,CA_A6-Weekday-SDon-039000_MISC_434,X21,403245.0,2587.0,2016-01-04 12:25:00,20160104.0,42129.5953226,4.0,907.724825436,1606.672493,X210011
37,CA_A6-Weekday-SDon-039000_MISC_434,X21,403245.0,2587.0,2016-01-04 12:30:00,20160104.0,44767.414375,4.0,750.491442395,1306.672493,X210011
38,CA_A6-Weekday-SDon-039000_MISC_435,S52,202788.0,8209.0,2016-01-04 12:00:00,20160104.0,8975.2115873,1.0,56.56279281,47.64444,S520109
39,CA_A6-Weekday-SDon-039000_S66_301,S66,202692.0,8230.0,2016-01-04 12:00:00,20160104.0,9238.5075,1.0,3.53604986282,5.735423,S660044
40,CA_A6-Weekday-SDon-039000_X14_306,X14,805033.0,2660.0,2016-01-04 12:00:00,20160104.0,8526.51909091,4.0,620.759601193,723.63646,X140122
41,CA_A6-Weekday-SDon-039000_X14_306,X14,805033.0,2660.0,2016-01-04 12:05:00,20160104.0,10109.12,1.0,277.529262688,423.63646,X140122
42,CA_A6-Weekday-SDon-039000_X14_306,X14,805033.0,2660.0,2016-01-04 12:10:00,20160104.0,11346.9970968,1.0,175.886900656,123.63646,X140122
43,CA_A6-Weekday-SDon-039000_X14_306,X14,805038.0,2660.0,2016-01-04 12:00:00,20160104.0,8526.51909091,10.0,1727.26701518,1410.239795,X140122
44,CA_A6-Weekday-SDon-039000_X14_306,X14,805038.0,2660.0,2016-01-04 12:05:00,20160104.0,10109.12,7.0,1384.03667667,1110.239795,X140122
45,CA_A6-Weekday-SDon-039000_X14_306,X14,805038.0,2660.0,2016-01-04 12:10:00,20160104.0,11346.9970968,7.0,1282.39431464,810.239795,X140122
46,CA_A6-Weekday-SDon-039000_X14_306,X14,805038.0,2660.0,2016-01-04 12:15:00,20160104.0,16163.7220635,5.0,793.544972756,510.239795,X140122
