,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,535.554053139,525.506342921,535.498341904,532.506410943
1,406.170428,392.006927817,470.102127229,461.282382668,470.053224657,467.426947999
2,210.156482,252.939668125,303.330037324,297.639160189,303.29848329,301.603897048
3,149.303174,115.315350893,138.288351328,135.693876928,138.273965824,137.50140291
4,115.8912,79.8456602239,95.7524269539,93.9559833773,95.7424662675,95.207534921
5,293.0,256.418363402,307.501754541,301.732610412,307.469766541,305.751874548
6,115.251596,96.3950935737,115.598820653,113.43003219,115.586795437,114.940990054
7,117.576333,75.301082811,90.3024837066,88.6082883533,90.2930899528,89.7886053069
8,387.616268,344.031119928,412.568630385,404.828291163,412.52571276,410.220853239
9,41.794956,46.9761499463,56.3346881183,55.2777740344,56.3288278787,56.0141080169
10,290.493087,274.515434975,329.204105288,323.027796038,329.169859693,327.330725157
11,173.968022,122.547621974,146.961427691,144.20423478,146.946139967,146.125123969
12,303.410378,291.661074408,405.495618181,346.964523573,387.882565661,347.773996543
13,558.564325,458.294240134,549.595126758,539.283987222,549.537954894,546.467581948
14,237.68071,154.222195262,184.946175473,181.476337898,184.926936369,183.893714446
15,73.521043,54.5643395973,65.434588767,64.2069483779,65.4277819064,65.0622244601
16,410.199513,381.378389274,457.356182645,448.775569049,457.308605976,454.753535923
17,110.199513,81.7639421542,98.0528669515,96.2132640442,98.0426669608,97.494883956
18,94.716784,57.2758457615,68.6862782789,67.3976318462,68.67913316,68.2954097965
19,381.157185,286.14336079,343.148534004,336.710608623,343.112837833,341.19580123
20,183.0,114.173118303,136.918564387,134.349789022,136.904321376,136.139410926
21,837.68071,697.863875632,836.891567906,821.190362941,836.804509909,832.12912415
22,480.708559,388.531349975,465.934148499,457.192600793,465.885679504,463.282687712
23,354.860515,259.834719307,311.598713202,305.75270465,311.566299015,309.825518916
24,93.916892,80.5266168881,96.5690430739,94.7572786868,96.5589974386,96.0195039773
25,423.264154,324.654696529,389.332056714,382.027666687,389.291556283,387.116510407
26,162.917243,190.717628434,228.71218967,224.421243142,228.688397788,227.410672268
27,1706.319887,1525.75133204,1829.70987479,1795.38207072,1829.51953845,1819.29766525
28,179.067641,172.516044799,206.884506079,203.003076085,206.862984832,205.707202039
29,140.933211,119.571669508,166.240174979,142.244306779,159.019389349,142.576164689
30,87.616268,70.6353789533,84.7072833342,83.1180614222,84.6984716234,84.2252451729
31,518.324908,451.092919109,540.959166288,530.810048919,540.902892783,537.88076557
32,88.890949,115.353089972,138.333608746,135.738285256,138.319218534,137.546402784
