,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,525.055792401,524.211581596,532.518282652,532.506216056
1,406.170428,392.006927817,465.134594977,460.139366371,467.50922296,467.426862802
2,210.156482,252.939668125,300.392486686,296.901197785,301.66182192,301.60384783
3,149.303174,115.315350893,138.161335831,135.355271015,137.551552532,137.501408557
4,115.8912,79.8456602239,96.4793292205,93.7197511059,95.2614999393,95.2075613396
5,293.0,256.418363402,305.757605873,300.982389598,305.833757354,305.751852129
6,115.251596,96.3950935737,117.283922341,113.142490353,115.031201203,114.941050883
7,117.576333,75.301082811,90.6329071645,88.3863263006,89.8306023967,89.7886198471
8,387.616268,344.031119928,409.164698084,403.823576497,410.310515485,410.220799216
9,41.794956,46.9761499463,57.5404799725,55.1346503606,56.0892692713,56.0141727475
10,290.493087,274.515434975,326.848687555,322.225480201,327.409035241,327.330690076
11,173.968022,122.547621974,146.168479445,143.845616691,146.165047215,146.125114189
12,303.410378,291.661074408,349.667634562,342.346012991,348.000897441,347.774973175
13,558.564325,458.294240134,538.103507906,537.956305371,546.468357981,546.467368253
14,237.68071,154.222195262,183.226820965,181.026269082,183.930340748,183.893685992
15,73.521043,54.5643395973,65.9815436534,64.0453876007,65.1004581361,65.0622440887
16,410.199513,381.378389274,452.941164632,447.662857701,454.841131977,454.753462018
17,110.199513,81.7639421542,99.9938140439,95.9669575755,97.5967353483,97.4949643425
18,94.716784,57.2758457615,70.1362010878,67.2242141777,68.3758857792,68.2954763404
19,381.157185,286.14336079,337.139077606,335.879963459,341.215020613,341.195690283
20,183.0,114.173118303,138.138691019,134.011536453,136.221504616,136.139454425
21,837.68071,697.863875632,818.731070064,819.169579191,832.119914385,832.128786258
22,480.708559,388.531349975,459.000387182,456.062890991,463.329203838,463.282561498
23,354.860515,259.834719307,309.079024836,304.993791948,309.894190529,309.825479246
24,93.916892,80.5266168881,98.4918105578,94.5146183223,96.1206608231,96.0195841007
25,423.264154,324.654696529,386.146460414,381.07949421,387.201617927,387.116460015
26,162.917243,190.717628434,227.592296859,223.86293118,227.475038488,227.410659691
27,1706.319887,1525.75133204,1782.6668937,1790.97406941,1819.16512648,1819.29679113
28,179.067641,172.516044799,207.307148924,202.495272294,205.795671026,205.707226279
29,140.933211,119.571669508,144.853628983,140.339147155,142.859292679,142.576590102
30,87.616268,70.6353789533,86.4966080184,82.904175494,84.3246859929,84.2253274543
31,518.324908,451.092919109,530.034994489,529.502678928,537.887654639,537.88056259
32,88.890949,115.353089972,140.190018655,135.394733445,137.648611641,137.546468983
