,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,525.055792401,524.211581596,532.947566012,532.506224015
1,406.170428,392.006927817,465.134594977,460.139366371,467.826048615,467.426784215
2,210.156482,252.939668125,300.392486686,296.901197785,301.8621903,301.603791388
3,149.303174,115.315350893,138.161335831,135.355271015,137.622846598,137.501354837
4,115.8912,79.8456602239,96.4793292205,93.7197511059,95.29440986,95.2075017134
5,293.0,256.418363402,305.757605873,300.982389598,306.017379547,305.75176753
6,115.251596,96.3950935737,117.283922341,113.142490353,115.049193152,114.940950064
7,117.576333,75.301082811,90.6329071645,88.3863263006,89.8692736285,89.7885739533
8,387.616268,344.031119928,409.164698084,403.823576497,410.573899092,410.220709572
9,41.794956,46.9761499463,57.5404799725,55.1346503606,56.0702233464,56.0140886512
10,290.493087,274.515434975,326.848687555,322.225480201,327.613503066,327.330610548
11,173.968022,122.547621974,146.168479445,143.845616691,146.252137303,146.125072826
12,303.410378,291.661074408,349.667634562,342.346012991,347.808492077,347.774971156
13,558.564325,458.294240134,538.103507906,537.956305371,546.918367315,546.467390072
14,237.68071,154.222195262,183.226820965,181.026269082,184.05141,183.893650029
15,73.521043,54.5643395973,65.9815436534,64.0453876007,65.1217799795,65.0622017724
16,410.199513,381.378389274,452.941164632,447.662857701,455.143027631,454.753376611
17,110.199513,81.7639421542,99.9938140439,95.9669575755,97.5896530594,97.4948501366
18,94.716784,57.2758457615,70.1362010878,67.2242141777,68.3627592881,68.2953861416
19,381.157185,286.14336079,337.139077606,335.879963459,341.480418913,341.195681507
20,183.0,114.173118303,138.138691019,134.011536453,136.264315059,136.139363462
21,837.68071,697.863875632,818.731070064,819.169579191,832.813781326,832.128831928
22,480.708559,388.531349975,459.000387182,456.062890991,463.672540878,463.282525234
23,354.860515,259.834719307,309.079024836,304.993791948,310.09231321,309.825410414
24,93.916892,80.5266168881,98.4918105578,94.5146183223,96.112931728,96.019470673
25,423.264154,324.654696529,386.146460414,381.07949421,387.449750644,387.116374834
26,162.917243,190.717628434,227.592296859,223.86293118,227.608686933,227.410592685
27,1706.319887,1525.75133204,1782.6668937,1790.97406941,1820.77514998,1819.29702589
28,179.067641,172.516044799,207.307148924,202.495272294,205.890885208,205.707130176
29,140.933211,119.571669508,144.853628983,140.339147155,142.392315275,142.576564338
30,87.616268,70.6353789533,86.4966080184,82.904175494,84.308323473,84.2252160013
31,518.324908,451.092919109,530.034994489,529.502678928,538.325508631,537.880576734
32,88.890949,115.353089972,140.190018655,135.394733445,137.675155004,137.546354907
