,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,516.984324639,524.216799907,534.019152972,532.506237535
1,406.170428,392.006927817,460.833057458,460.144682457,468.494843784,467.426795801
2,210.156482,252.939668125,300.536555027,296.902090291,302.158260307,301.603798853
3,149.303174,115.315350893,138.422147693,135.356331033,137.68546014,137.501358147
4,115.8912,79.8456602239,97.1620478013,93.72044441,95.2523548376,95.207503932
5,293.0,256.418363402,303.778466426,300.986274915,306.35330928,305.751774999
6,115.251596,96.3950935737,118.617653207,113.142384281,114.845035824,114.940952651
7,117.576333,75.301082811,91.4041687052,88.3865214822,89.8475221311,89.7885760807
8,387.616268,344.031119928,406.601547546,403.827867298,411.069360291,410.220719674
9,41.794956,46.9761499463,56.2781682096,55.1330909319,55.759974321,56.014089801
10,290.493087,274.515434975,327.064258218,322.226948374,327.891356412,327.330618588
11,173.968022,122.547621974,145.57602941,143.847161027,146.395149831,146.125076393
12,303.410378,291.661074408,354.730329861,342.357947568,348.08189226,347.774979975
13,558.564325,458.294240134,529.611642034,537.961340655,548.051807369,546.467403992
14,237.68071,154.222195262,184.673926978,181.025422452,184.163311503,183.893654579
15,73.521043,54.5643395973,67.0940605146,64.0443412985,65.017771838,65.0622032877
16,410.199513,381.378389274,450.994432798,447.666304626,455.68344475,454.753387859
17,110.199513,81.7639421542,100.752746073,95.9682352772,97.3658457439,97.4948522332
18,94.716784,57.2758457615,70.0527836897,67.2233605597,68.0842257642,68.2953875815
19,381.157185,286.14336079,332.915827653,335.883050425,342.106308808,341.195690125
20,183.0,114.173118303,139.853902415,134.011160162,136.120285104,136.139366619
21,837.68071,697.863875632,805.679905406,819.176902586,834.568058367,832.128853166
22,480.708559,388.531349975,456.070194102,456.065578179,464.367811963,463.282536862
23,354.860515,259.834719307,308.02539771,304.9962332,310.4262651,309.825418042
24,93.916892,80.5266168881,99.2218382312,94.5160497245,95.8966243467,96.0194727344
25,423.264154,324.654696529,382.95775719,381.084273615,387.948223707,387.116384363
26,162.917243,190.717628434,226.474025766,223.865620059,227.834590797,227.410598228
27,1706.319887,1525.75133204,1745.59816326,1790.9915502,1825.1501394,1819.29707276
28,179.067641,172.516044799,208.791970351,202.495911273,205.883408515,205.707135079
29,140.933211,119.571669508,151.566294067,140.351817305,142.206175115,142.576567878
30,87.616268,70.6353789533,86.911228965,82.9046826492,84.0357578164,84.2252177723
31,518.324908,451.092919109,523.044529275,529.506841459,539.379464884,537.880590414
32,88.890949,115.353089972,138.611569512,135.400458442,137.722786843,137.546358008
