,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,535.025213052,516.118004006,526.893648307,531.141066447
1,406.170428,392.006927817,462.045157169,450.680270628,457.95043765,465.437600103
2,210.156482,252.939668125,308.848246525,298.370356275,308.431152322,302.837336337
3,149.303174,115.315350893,139.747773733,133.953016334,137.312394045,137.376588778
4,115.8912,79.8456602239,96.649518596,92.6923980278,94.9714128051,95.1017542535
5,293.0,256.418363402,299.800802782,294.164000052,298.294545822,304.23747952
6,115.251596,96.3950935737,117.780263986,112.700124309,116.053930524,115.07737155
7,117.576333,75.301082811,92.0723696377,88.1401514202,90.8306228894,89.9289413245
8,387.616268,344.031119928,410.638878377,397.068520841,404.897273781,408.992769408
9,41.794956,46.9761499463,57.3071915038,55.4650409914,57.3523510748,56.2602000151
10,290.493087,274.515434975,335.878530748,321.928028907,332.047100773,328.043212154
11,173.968022,122.547621974,146.313044521,141.453162739,144.253660037,145.692029354
12,303.410378,291.661074408,337.695574843,334.035652585,338.097292387,345.86249419
13,558.564325,458.294240134,556.056716247,532.725659967,546.364359961,546.091338659
14,237.68071,154.222195262,181.615878469,184.630941891,191.423139959,185.543136173
15,73.521043,54.5643395973,65.6386217836,64.9154247537,67.250755991,65.5105062558
16,410.199513,381.378389274,464.192057969,444.231763757,456.291073863,454.743986708
17,110.199513,81.7639421542,97.4899401307,94.334624147,96.1639461779,97.1914976722
18,94.716784,57.2758457615,70.0853875948,67.2278619295,69.3668301387,68.4638152135
19,381.157185,286.14336079,346.766677698,332.389116477,340.723687244,340.885514607
20,183.0,114.173118303,139.705300129,134.090173217,138.389567802,136.501177216
21,837.68071,697.863875632,852.346316222,815.481967351,839.463228089,832.975943843
22,480.708559,388.531349975,475.162419393,457.235435476,472.264592275,464.820131122
23,354.860515,259.834719307,315.582808392,302.220487559,310.099731983,309.674049297
24,93.916892,80.5266168881,95.56928271,92.7673764204,94.4399141768,95.6739298437
25,423.264154,324.654696529,379.312208662,372.3780852,377.540600179,385.176589743
26,162.917243,190.717628434,225.332920495,219.413358682,223.095134105,226.493264
27,1706.319887,1525.75133204,1847.19434234,1771.40801372,1815.09654615,1817.33338484
28,179.067641,172.516044799,210.862995335,201.802706401,207.878731687,205.986370325
29,140.933211,119.571669508,127.297104019,135.028342434,134.44557451,141.137532032
30,87.616268,70.6353789533,85.3759303565,81.9397891436,83.9063862312,84.1115496775
31,518.324908,451.092919109,551.870486788,530.331557313,547.558120604,539.491088821
32,88.890949,115.353089972,100.656281803,127.54201623,122.785995204,135.195080724
