,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,516.984324639,524.216799907,533.030748858,532.506199982
1,406.170428,392.006927817,460.833057458,460.144682457,467.843872547,467.426770351
2,210.156482,252.939668125,300.536555027,296.902090291,301.850146137,301.603786253
3,149.303174,115.315350893,138.422147693,135.356331033,137.601906253,137.501354318
4,115.8912,79.8456602239,97.1620478013,93.72044441,95.2627115895,95.2075035254
5,293.0,256.418363402,303.778466426,300.986274915,306.008208104,305.751761114
6,115.251596,96.3950935737,118.617653207,113.142384281,114.980674657,114.94095607
7,117.576333,75.301082811,91.4041687052,88.3865214822,89.8435718881,89.7885752508
8,387.616268,344.031119928,406.601547546,403.827867298,410.571807112,410.220699865
9,41.794956,46.9761499463,56.2781682096,55.1330909319,55.9806237852,56.0140963493
10,290.493087,274.515434975,327.064258218,322.226948374,327.590990174,327.330606065
11,173.968022,122.547621974,145.57602941,143.847161027,146.24467503,146.125070248
12,303.410378,291.661074408,354.730329861,342.357947568,348.008301073,347.774962509
13,558.564325,458.294240134,529.611642034,537.961340655,547.010924871,546.467364524
14,237.68071,154.222195262,184.673926978,181.025422452,184.032161827,183.893648809
15,73.521043,54.5643395973,67.0940605146,64.0443412985,65.086483621,65.062204972
16,410.199513,381.378389274,450.994432798,447.666304626,455.140777818,454.753366204
17,110.199513,81.7639421542,100.752746073,95.9682352772,97.5197999339,97.4948563316
18,94.716784,57.2758457615,70.0527836897,67.2233605597,68.2824437576,68.295393353
19,381.157185,286.14336079,332.915827653,335.883050425,341.522022255,341.195667773
20,183.0,114.173118303,139.853902415,134.011160162,136.203508985,136.139368236
21,837.68071,697.863875632,805.679905406,819.176902586,832.960879282,832.128792289
22,480.708559,388.531349975,456.070194102,456.065578179,463.700397027,463.282510872
23,354.860515,259.834719307,308.02539771,304.9962332,310.083792292,309.825404217
24,93.916892,80.5266168881,99.2218382312,94.5160497245,96.0448190688,96.0194766659
25,423.264154,324.654696529,382.95775719,381.084273615,387.452930765,387.116364789
26,162.917243,190.717628434,226.474025766,223.865620059,227.597352812,227.41058856
27,1706.319887,1525.75133204,1745.59816326,1790.9915502,1821.2015918,1819.29692435
28,179.067641,172.516044799,208.791970351,202.495911273,205.840351508,205.707132063
29,140.933211,119.571669508,151.566294067,140.351817305,142.565583798,142.576566598
30,87.616268,70.6353789533,86.911228965,82.9046826492,84.2289581696,84.2252232189
31,518.324908,451.092919109,523.044529275,529.506841459,538.405544689,537.880553336
32,88.890949,115.353089972,138.611569512,135.400458442,137.645604558,137.54635439
