,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,519.48199351,524.217921108,533.285973259,532.506204001
1,406.170428,392.006927817,464.102768984,460.138452159,467.958792722,467.42677784
2,210.156482,252.939668125,299.956760254,296.900169446,301.936713362,301.603788024
3,149.303174,115.315350893,138.925402975,135.352637836,137.601827503,137.501356964
4,115.8912,79.8456602239,97.5144572274,93.71615322,95.2346700428,95.2075061198
5,293.0,256.418363402,306.338863321,300.979241974,306.039466399,305.751767701
6,115.251596,96.3950935737,118.777596324,113.135804279,114.917283531,114.940959155
7,117.576333,75.301082811,91.4105516156,88.3837563921,89.8339063983,89.7885767567
8,387.616268,344.031119928,409.072272602,403.821190715,410.65019889,410.220706681
9,41.794956,46.9761499463,57.5571509429,55.1284006999,55.9292309798,56.0140976534
10,290.493087,274.515434975,327.074273971,322.222961643,327.658771284,327.330609287
11,173.968022,122.547621974,146.478776796,143.844040415,146.260864758,146.12507303
12,303.410378,291.661074408,352.299027581,342.339076355,348.026152281,347.774968302
13,558.564325,458.294240134,531.699036874,537.963834206,547.291568907,546.467367748
14,237.68071,154.222195262,183.022257705,181.025523414,184.093835592,183.89364818
15,73.521043,54.5643395973,66.7128049966,64.042803005,65.077745735,65.0622049889
16,410.199513,381.378389274,452.296288486,447.661283805,455.254798737,454.753371579
17,110.199513,81.7639421542,101.009125036,95.9588814595,97.4162097455,97.4948615993
18,94.716784,57.2758457615,70.6029302327,67.2176788635,68.2187348634,68.2953955047
19,381.157185,286.14336079,334.241863418,335.882982107,341.670807304,341.195670498
20,183.0,114.173118303,139.702680906,134.005933815,136.167215914,136.139370508
21,837.68071,697.863875632,808.342779894,819.181974764,833.405657631,832.128796306
22,480.708559,388.531349975,456.194545743,456.065150907,463.884431233,463.282513471
23,354.860515,259.834719307,309.051999383,304.991903498,310.147741997,309.825408378
24,93.916892,80.5266168881,99.4736846931,94.5065833227,95.9400339181,96.0194820865
25,423.264154,324.654696529,386.0815069,381.07719782,387.520610957,387.116372183
26,162.917243,190.717628434,228.165902881,223.860274344,227.617092989,227.410593346
27,1706.319887,1525.75133204,1752.78063069,1791.01121924,1822.32364562,1819.29693036
28,179.067641,172.516044799,208.874713816,202.490098357,205.828028674,205.707135416
29,140.933211,119.571669508,145.916107956,140.325143608,142.41035015,142.576573874
30,87.616268,70.6353789533,87.0658495777,82.8960970909,84.1302244286,84.2252275764
31,518.324908,451.092919109,524.100809083,529.50954023,538.678931184,537.880555719
32,88.890949,115.353089972,141.96240495,135.387272371,137.531098261,137.546364926
