,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,509.238261448,524.228564501,533.189714783,532.506235391
1,406.170428,392.006927817,458.504827191,460.149271457,467.963802469,467.426794493
2,210.156482,252.939668125,300.996423238,296.902083502,301.917150667,301.603798301
3,149.303174,115.315350893,139.462814266,135.354817056,137.627055942,137.501358042
4,115.8912,79.8456602239,98.589769561,93.7175826312,95.273450162,95.2075040308
5,293.0,256.418363402,303.702748099,300.987136776,306.079194401,305.751774355
6,115.251596,96.3950935737,120.789640215,113.135647967,114.980997417,114.940953069
7,117.576333,75.301082811,92.6374344177,88.3841875631,89.8550624368,89.7885761397
8,387.616268,344.031119928,405.903798547,403.829939587,410.670257673,410.220718719
9,41.794956,46.9761499463,55.3551757226,55.1253142236,55.974187813,56.0140903776
10,290.493087,274.515434975,328.099640291,322.226038028,327.660511082,327.330618078
11,173.968022,122.547621974,145.779491968,143.847189455,146.277250316,146.125076123
12,303.410378,291.661074408,354.740425881,342.356143154,347.949421698,347.77497932
13,558.564325,458.294240134,521.063674937,537.974116759,547.176426693,546.467401721
14,237.68071,154.222195262,185.804754929,181.023913013,184.067653238,183.893654389
15,73.521043,54.5643395973,68.3229882192,64.040743431,65.0875150057,65.0622035051
16,410.199513,381.378389274,450.376696296,447.668365885,455.249090433,454.753386824
17,110.199513,81.7639421542,102.520550282,95.9614828045,97.5159258097,97.4948526794
18,94.716784,57.2758457615,70.4202338053,67.2160081356,68.2759042003,68.2953881156
19,381.157185,286.14336079,329.022636434,335.8892907,341.619482351,341.195688882
20,183.0,114.173118303,142.291299784,134.005246213,136.211945225,136.139366928
21,837.68071,697.863875632,792.157295554,819.196944351,833.214869012,832.128849648
22,480.708559,388.531349975,453.338444217,456.070715231,463.821299007,463.282535507
23,354.860515,259.834719307,308.070504309,304.996914875,310.155050729,309.825417408
24,93.916892,80.5266168881,100.974181591,94.5094910413,96.0413726089,96.0194731657
25,423.264154,324.654696529,381.840137405,381.086912271,387.548220268,387.116383395
26,162.917243,190.717628434,226.740949733,223.86574543,227.648335256,227.410597799
27,1706.319887,1525.75133204,1705.68360372,1791.04686828,1821.79525543,1819.2970639
28,179.067641,172.516044799,211.296153297,202.491468652,205.870026985,205.707135129
29,140.933211,119.571669508,152.919368087,140.343472468,142.458495132,142.576568191
30,87.616268,70.6353789533,88.0394208046,82.8971530592,84.2215625517,84.2252183033
31,518.324908,451.092919109,515.763109492,529.518077347,538.563928366,537.880588313
32,88.890949,115.353089972,139.734986724,135.398773996,137.670147735,137.546357919
