,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,530.872280571,516.126947836,528.585045203,531.152658269
1,406.170428,392.006927817,459.695050548,450.683230721,455.45143949,465.456645846
2,210.156482,252.939668125,307.47997543,298.371341627,312.139656555,302.823986003
3,149.303174,115.315350893,139.555226947,133.951967252,138.944411898,137.377745966
4,115.8912,79.8456602239,96.8795582633,92.6902726945,96.0272293517,95.1029513353
5,293.0,256.418363402,298.751557662,294.164085896,295.581821009,304.252409507
6,115.251596,96.3950935737,118.593449786,112.695385362,118.657987198,115.076389671
7,117.576333,75.301082811,92.1470989946,88.1386457124,92.9946003498,89.927537774
8,387.616268,344.031119928,408.903025187,397.069888115,405.392356009,409.004348084
9,41.794956,46.9761499463,58.4007809945,55.4597649829,57.8361503712,56.2582042714
10,290.493087,274.515434975,334.683542556,321.928166849,340.90665509,328.035248215
11,173.968022,122.547621974,145.84020562,141.453097715,144.461495309,145.696191232
12,303.410378,291.661074408,336.941853407,334.033361568,333.852805226,345.881792213
13,558.564325,458.294240134,551.549674627,532.735708231,553.21552359,546.092593451
14,237.68071,154.222195262,180.833984103,184.630930808,175.109161416,185.525971428
15,73.521043,54.5643395973,65.8976114429,64.9133821432,64.3848827095,65.506074615
16,410.199513,381.378389274,462.086642456,444.233856439,463.59139206,454.742869219
17,110.199513,81.7639421542,98.5623341048,94.329228223,96.3138954232,97.1951665953
18,94.716784,57.2758457615,71.137806368,67.2226990418,71.3983650351,68.4626096453
19,381.157185,286.14336079,344.306016615,332.394064114,344.649249468,340.887273607
20,183.0,114.173118303,140.207055256,134.08631876,142.483046722,136.497733583
21,837.68071,697.863875632,845.232701303,815.498026712,856.844886609,832.96320907
22,480.708559,388.531349975,472.197511759,457.240361375,484.953261033,464.802764283
23,354.860515,259.834719307,314.315401151,302.221296284,314.369124302,309.674864296
24,93.916892,80.5266168881,96.6268640371,92.7620700237,94.3483646588,95.6780270927
25,423.264154,324.654696529,377.657325064,372.37942371,373.967796966,385.195539063
26,162.917243,190.717628434,224.624654996,219.41315579,222.16797383,226.50225846
27,1706.319887,1525.75133204,1829.69960383,1771.45088316,1834.21865686,1817.34338994
28,179.067641,172.516044799,210.876635911,201.799880955,212.622339403,205.983502381
29,140.933211,119.571669508,128.720804342,135.02040763,128.982677012,141.153254409
30,87.616268,70.6353789533,86.5695075512,81.9340154964,84.7992547359,84.1133203976
31,518.324908,451.092919109,547.488558437,530.34089029,564.19328777,539.472161999
32,88.890949,115.353089972,100.975313259,127.538759515,109.818141543,135.219584926
