,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,530.872280571,516.126947836,529.889802593,531.151694191
1,406.170428,392.006927817,459.695050548,450.683230721,455.514807436,465.455254811
2,210.156482,252.939668125,307.47997543,298.371341627,309.335636381,302.824811288
3,149.303174,115.315350893,139.555226947,133.951967252,139.579262757,137.377653722
4,115.8912,79.8456602239,96.8795582633,92.6902726945,96.5130692494,95.1028742809
5,293.0,256.418363402,298.751557662,294.164085896,295.343019042,304.25135248
6,115.251596,96.3950935737,118.593449786,112.695385362,118.664689784,115.076477537
7,117.576333,75.301082811,92.1470989946,88.1386457124,92.9099666143,89.9276293304
8,387.616268,344.031119928,408.903025187,397.069888115,406.204207238,409.003484446
9,41.794956,46.9761499463,58.4007809945,55.4597649829,57.3923538309,56.2583694289
10,290.493087,274.515434975,334.683542556,321.928166849,339.380286962,328.03571849
11,173.968022,122.547621974,145.84020562,141.453097715,144.76323766,145.695886638
12,303.410378,291.661074408,336.941853407,334.033361568,333.517509037,345.880458352
13,558.564325,458.294240134,551.549674627,532.735708231,555.383981,546.092307923
14,237.68071,154.222195262,180.833984103,184.630930808,178.513767637,185.527078813
15,73.521043,54.5643395973,65.8976114429,64.9133821432,64.8051352609,65.506375873
16,410.199513,381.378389274,462.086642456,444.233856439,464.745707268,454.742840021
17,110.199513,81.7639421542,98.5623341048,94.329228223,96.55553067,97.1949537637
18,94.716784,57.2758457615,71.137806368,67.2226990418,70.9082296509,68.4627215499
19,381.157185,286.14336079,344.306016615,332.394064114,346.181317538,340.887043761
20,183.0,114.173118303,140.207055256,134.08631876,141.271938635,136.497974007
21,837.68071,697.863875632,845.232701303,815.498026712,856.919994706,832.963745576
22,480.708559,388.531349975,472.197511759,457.240361375,478.678666727,464.803789316
23,354.860515,259.834719307,314.315401151,302.221296284,315.48758231,309.674745173
24,93.916892,80.5266168881,96.6268640371,92.7620700237,94.5180848284,95.677785237
25,423.264154,324.654696529,377.657325064,372.37942371,373.619797534,385.19418509
26,162.917243,190.717628434,224.624654996,219.41315579,222.289209549,226.501616632
27,1706.319887,1525.75133204,1829.69960383,1771.45088316,1842.61147215,1817.34195059
28,179.067641,172.516044799,210.876635911,201.799880955,212.52153925,205.983683205
29,140.933211,119.571669508,128.720804342,135.02040763,128.349632211,141.152252507
30,87.616268,70.6353789533,86.5695075512,81.9340154964,85.2433307603,84.1132386521
31,518.324908,451.092919109,547.488558437,530.34089029,556.897754198,539.473233088
32,88.890949,115.353089972,100.975313259,127.538759515,110.435238325,135.217941837
