,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,513.87152717,524.217901111,533.143479596,532.506198078
1,406.170428,392.006927817,462.212801866,460.138435569,467.872273324,467.426774929
2,210.156482,252.939668125,298.914691421,296.900158806,301.883493687,301.6037863
3,149.303174,115.315350893,139.171289635,135.352633305,137.590413552,137.501356927
4,115.8912,79.8456602239,98.0221722648,93.7161503452,95.2372746832,95.2075066934
5,293.0,256.418363402,306.061255609,300.9792315,305.99802067,305.751766685
6,115.251596,96.3950935737,119.456260414,113.135801153,114.934257392,114.940960618
7,117.576333,75.301082811,91.7652378391,88.3837535596,89.8314920731,89.7885770212
8,387.616268,344.031119928,408.038496967,403.82117639,410.583679212,410.220704679
9,41.794956,46.9761499463,57.055674654,55.1283996142,55.9510030199,56.0140993012
10,290.493087,274.515434975,326.477344562,322.222950304,327.60934538,327.330607904
11,173.968022,122.547621974,146.370515431,143.84403542,146.241484244,146.125072569
12,303.410378,291.661074408,352.314043012,342.339770953,347.995297174,347.774977474
13,558.564325,458.294240134,525.395188784,537.963813533,547.1392428,546.467361305
14,237.68071,154.222195262,182.433871252,181.025516945,184.062091843,183.89364717
15,73.521043,54.5643395973,67.0729400851,64.0428010591,65.0802699762,65.0622054228
16,410.199513,381.378389274,450.73438911,447.661267766,455.174693944,454.753368987
17,110.199513,81.7639421542,101.202510508,95.9588791608,97.4447580756,97.4948636076
18,94.716784,57.2758457615,70.4621250798,67.2176773816,68.2431552251,68.295397184
19,381.157185,286.14336079,331.182675292,335.882969449,341.585721012,341.195667074
20,183.0,114.173118303,140.473884047,134.005929772,136.173647351,136.139371481
21,837.68071,697.863875632,798.234884165,819.181943147,833.168154711,832.128786162
22,480.708559,388.531349975,452.930975776,456.065133993,463.779846568,463.282509473
23,354.860515,259.834719307,308.303890107,304.991892691,310.098016246,309.825406896
24,93.916892,80.5266168881,99.6426663168,94.5065810706,95.9686265464,96.0194840897
25,423.264154,324.654696529,385.122961586,381.077184308,387.45810503,387.11637031
26,162.917243,190.717628434,228.065353888,223.8602666,227.588141009,227.4105927
27,1706.319887,1525.75133204,1724.9123896,1791.01114862,1821.74446247,1819.29690458
28,179.067641,172.516044799,209.542188678,202.490091762,205.818270144,205.70713578
29,140.933211,119.571669508,146.858974917,140.32597147,142.459373296,142.576588621
30,87.616268,70.6353789533,86.8852903455,82.8960952661,84.160377693,84.2252296532
31,518.324908,451.092919109,518.191221815,529.509519964,538.532271609,537.880549574
32,88.890949,115.353089972,142.796286788,135.387268552,137.548226528,137.546366502
