,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,504.275117856,524.228555765,532.670701508,532.504910377
1,406.170428,392.006927817,456.919141397,460.149268335,467.599930245,467.425966765
2,210.156482,252.939668125,301.160068814,296.902083643,301.729967173,301.603434788
3,149.303174,115.315350893,140.023576196,135.354818124,137.566032865,137.501277774
4,115.8912,79.8456602239,99.3574842993,93.7175844124,95.2605200652,95.2075486425
5,293.0,256.418363402,303.544055757,300.987136306,305.875486821,305.751356179
6,115.251596,96.3950935737,121.818612935,113.135651538,115.018847995,114.941181405
7,117.576333,75.301082811,93.3055652768,88.3841890495,89.8369528025,89.7885982871
8,387.616268,344.031119928,405.331222429,403.829938296,410.382251593,410.220105095
9,41.794956,46.9761499463,54.1704692896,55.1253164555,56.0679268691,56.0144194042
10,290.493087,274.515434975,328.595657937,322.226038803,327.471873147,327.330274956
11,173.968022,122.547621974,145.847238952,143.847189501,146.186051628,146.124898194
12,303.410378,291.661074408,350.664424432,342.349908568,347.929024647,347.77466228
13,558.564325,458.294240134,515.595059991,537.974107208,546.632592548,546.466000457
14,237.68071,154.222195262,186.40470694,181.023914112,183.977737255,183.893518075
15,73.521043,54.5643395973,68.9190488363,64.0407453751,65.1054198682,65.0623215472
16,410.199513,381.378389274,449.836146719,447.668364626,454.9336044,454.752720147
17,110.199513,81.7639421542,103.273470732,95.9614861614,97.5650584237,97.4950998123
18,94.716784,57.2758457615,70.1646439267,67.216010934,68.3541770477,68.2956906203
19,381.157185,286.14336079,326.510566036,335.889286164,341.307646494,341.194916228
20,183.0,114.173118303,143.54910673,134.00524963,136.223066071,136.139528793
21,837.68071,697.863875632,783.512197252,819.196929315,832.377389727,832.126681173
22,480.708559,388.531349975,451.506835778,456.070711689,463.451226371,463.281680993
23,354.860515,259.834719307,307.982908925,304.996914536,309.95170569,309.825004636
24,93.916892,80.5266168881,101.729600166,94.5094943211,96.0882576065,96.0197118827
25,423.264154,324.654696529,381.021340525,381.086910553,387.265482424,387.115765009
26,162.917243,190.717628434,226.816694466,223.865745445,227.505102007,227.410316262
27,1706.319887,1525.75133204,1680.25295725,1791.04682552,1819.78109753,1819.29163934
28,179.067641,172.516044799,212.659710531,202.491471555,205.813898344,205.707136159
29,140.933211,119.571669508,151.106162994,140.337241209,142.673133877,142.5768509
30,87.616268,70.6353789533,88.2990191384,82.8971563403,84.2922835283,84.2255168317
31,518.324908,451.092919109,511.089466262,529.518069057,538.050007238,537.879288082
32,88.890949,115.353089972,140.342836166,135.398775171,137.611845302,137.546287147
