,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,530.365491613,516.129354802,527.475978449,531.140660088
1,406.170428,392.006927817,459.056434737,450.685107875,453.914696543,465.439425474
2,210.156482,252.939668125,307.267340332,298.373237291,311.202110021,302.834053417
3,149.303174,115.315350893,139.411292374,133.952654089,139.133291626,137.37657548
4,115.8912,79.8456602239,96.760422073,92.6907428913,96.2302845134,95.1019797203
5,293.0,256.418363402,298.268811933,294.165248564,294.450802514,304.239339981
6,115.251596,96.3950935737,118.445048043,112.69602491,119.314312316,115.077441427
7,117.576333,75.301082811,92.0596749158,88.1391540509,93.3963387545,89.9286399307
8,387.616268,344.031119928,408.416497438,397.071690825,404.713414809,408.993622895
9,41.794956,46.9761499463,58.2954210227,55.4601211372,57.8482686549,56.2602229263
10,290.493087,274.515434975,334.441224583,321.930071267,342.189150468,328.040941671
11,173.968022,122.547621974,145.660668229,141.453741174,144.261336885,145.692408551
12,303.410378,291.661074408,337.490607372,334.03230443,332.771461838,345.86612148
13,558.564325,458.294240134,551.167491635,532.738470621,553.140682928,546.088929266
14,237.68071,154.222195262,180.607286856,184.632273487,175.184688039,185.539550626
15,73.521043,54.5643395973,65.8119968625,64.913831271,64.3894928703,65.5097643137
16,410.199513,381.378389274,461.718265343,444.23623911,464.266470563,454.7423856
17,110.199513,81.7639421542,98.3734966338,94.3296534498,96.5196293312,97.1925283003
18,94.716784,57.2758457615,71.0247607926,67.2231014996,72.0200975073,68.4639698729
19,381.157185,286.14336079,344.042988977,332.395767909,344.611824,340.884352767
20,183.0,114.173118303,140.059572258,134.087127408,143.33373583,136.500655062
21,837.68071,697.863875632,844.772171429,815.502617813,858.129662715,832.969569702
22,480.708559,388.531349975,471.918884632,457.243187767,483.175881314,464.815241111
23,354.860515,259.834719307,314.04370485,302.222879845,314.719919404,309.673315441
24,93.916892,80.5266168881,96.4330465387,92.7624748792,94.4977611498,95.6750326944
25,423.264154,324.654696529,377.056998353,372.380888764,372.426495786,385.178798457
26,162.917243,190.717628434,224.302638238,219.414084436,221.588627314,226.494310609
27,1706.319887,1525.75133204,1828.47033256,1771.4598802,1832.57565867,1817.32517775
28,179.067641,172.516044799,210.682078787,201.801034539,213.460917424,205.985671311
29,140.933211,119.571669508,129.459053941,135.018260228,128.181798116,141.141804364
30,87.616268,70.6353789533,86.4138605628,81.9344258686,85.2128484588,84.1122963875
31,518.324908,451.092919109,547.210228771,530.344128945,563.332384893,539.485181995
32,88.890949,115.353089972,100.150017237,127.538714533,104.190046663,135.199405665
