,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,530.365491613,516.129354802,529.422963804,531.140772355
1,406.170428,392.006927817,459.056434737,450.685107875,455.506042281,465.439591117
2,210.156482,252.939668125,307.267340332,298.373237291,308.901553147,302.833950765
3,149.303174,115.315350893,139.411292374,133.952654089,139.437396229,137.376585343
4,115.8912,79.8456602239,96.760422073,92.6907428913,96.391299767,95.1019881777
5,293.0,256.418363402,298.268811933,294.165248564,295.412502397,304.239466532
6,115.251596,96.3950935737,118.445048043,112.69602491,119.319893686,115.077429651
7,117.576333,75.301082811,92.0596749158,88.1391540509,93.4710210167,89.9286279364
8,387.616268,344.031119928,408.416497438,397.071690825,406.018090098,408.993724316
9,41.794956,46.9761499463,58.2954210227,55.4601211372,57.3137922903,56.2602024668
10,290.493087,274.515434975,334.441224583,321.930071267,340.750361142,328.040881405
11,173.968022,122.547621974,145.660668229,141.453741174,144.70300799,145.692444313
12,303.410378,291.661074408,337.490607372,334.03230443,333.752681497,345.866281649
13,558.564325,458.294240134,551.167491635,532.738470621,554.879946197,546.088958399
14,237.68071,154.222195262,180.607286856,184.632273487,178.424188286,185.539416411
15,73.521043,54.5643395973,65.8119968625,64.913831271,64.7858706446,65.5097275003
16,410.199513,381.378389274,461.718265343,444.23623911,465.346493926,454.742384542
17,110.199513,81.7639421542,98.3734966338,94.3296534498,96.5996649314,97.1925534268
18,94.716784,57.2758457615,71.0247607926,67.2231014996,71.051288843,68.4639556773
19,381.157185,286.14336079,344.042988977,332.395767909,345.672090985,340.884377262
20,183.0,114.173118303,140.059572258,134.087127408,141.277303831,136.500624622
21,837.68071,697.863875632,844.772171429,815.502617813,860.250247089,832.969496025
22,480.708559,388.531349975,471.918884632,457.243187767,477.751623598,464.815112511
23,354.860515,259.834719307,314.04370485,302.222879845,315.483454254,309.673326807
24,93.916892,80.5266168881,96.4330465387,92.7624748792,94.5814289303,95.6750614109
25,423.264154,324.654696529,377.056998353,372.380888764,373.693127214,385.178960599
26,162.917243,190.717628434,224.302638238,219.414084436,222.294441891,226.494386918
27,1706.319887,1525.75133204,1828.47033256,1771.4598802,1839.00882758,1817.32533423
28,179.067641,172.516044799,210.682078787,201.801034539,213.678339203,205.985647327
29,140.933211,119.571669508,129.459053941,135.018260228,128.44146707,141.141926839
30,87.616268,70.6353789533,86.4138605628,81.9344258686,85.2061939196,84.1123055811
31,518.324908,451.092919109,547.210228771,530.344128945,556.086841607,539.485046962
32,88.890949,115.353089972,100.150017237,127.538714533,109.284053744,135.199609178
