,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,530.363245063,516.13834326,527.369008983,531.152780997
1,406.170428,392.006927817,459.060860692,450.688111487,454.489683861,465.459213264
2,210.156482,252.939668125,307.267893627,298.374251566,310.845305854,302.820264349
3,149.303174,115.315350893,139.425529688,133.951619361,139.041322635,137.377777959
4,115.8912,79.8456602239,96.7732401258,92.6886285361,96.2452364665,95.1032119537
5,293.0,256.418363402,298.273098694,294.165364427,294.980762374,304.254829109
6,115.251596,96.3950935737,118.461402436,112.691300734,119.082257175,115.076401494
7,117.576333,75.301082811,92.0698384829,88.1376583292,93.0735441884,89.9271835895
8,387.616268,344.031119928,408.435821298,397.073097331,404.992313416,409.005659838
9,41.794956,46.9761499463,58.2940164202,55.4548545943,58.0646778414,56.2581287049
10,290.493087,274.515434975,334.460082329,321.930241323,339.609510404,328.032725561
11,173.968022,122.547621974,145.669603105,141.453690578,144.381313955,145.696730715
12,303.410378,291.661074408,337.497662156,334.030049856,333.520316776,345.886109509
13,558.564325,458.294240134,551.16949395,532.748563913,552.037905713,546.090355175
14,237.68071,154.222195262,180.56535191,184.632280615,176.626002616,185.521793823
15,73.521043,54.5643395973,65.8097051804,64.9117965772,64.7828671223,65.5051675182
16,410.199513,381.378389274,461.747326507,444.238374819,463.255723083,454.741284593
17,110.199513,81.7639421542,98.3853983132,94.324271085,96.8301444985,97.196297055
18,94.716784,57.2758457615,71.0302286264,67.2179491013,71.5439901586,68.4626936747
19,381.157185,286.14336079,344.050377019,332.400744881,344.063439974,340.886242725
20,183.0,114.173118303,140.074872799,134.083289213,141.960877589,136.49707411
21,837.68071,697.863875632,844.766692962,815.518745097,854.571657682,832.956581436
22,480.708559,388.531349975,471.916244826,457.248155188,481.263654781,464.797337412
23,354.860515,259.834719307,314.06590252,302.223718392,314.233341149,309.674192873
24,93.916892,80.5266168881,96.4439592338,92.7571818385,94.8314276466,95.6792453405
25,423.264154,324.654696529,377.057235197,372.382264262,373.050985255,385.198467085
26,162.917243,190.717628434,224.31212028,219.413904084,221.916662328,226.503643471
27,1706.319887,1525.75133204,1828.42553529,1771.50289045,1829.26565115,1817.33603577
28,179.067641,172.516044799,210.704569242,201.798231513,212.76252165,205.982699156
29,140.933211,119.571669508,129.440774425,135.010345886,128.925936054,141.158028304
30,87.616268,70.6353789533,86.4239527337,81.9286647459,85.4025769642,84.11409708
31,518.324908,451.092919109,547.194912648,530.353506871,558.521761683,539.465703817
32,88.890949,115.353089972,100.057648131,127.535474087,107.93452263,135.224781182
