,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,509.238261448,524.223919355,532.182579436,532.506231901
1,406.170428,392.006927817,458.504827191,460.14749132,467.289989089,467.426792901
2,210.156482,252.939668125,300.996423238,296.902123132,301.591156992,301.603798022
3,149.303174,115.315350893,139.462814266,135.355440051,137.533832671,137.50135829
4,115.8912,79.8456602239,98.589769561,93.71874009,95.2754284768,95.2075046419
5,293.0,256.418363402,303.702748099,300.986829124,305.716871539,305.751773854
6,115.251596,96.3950935737,120.789640215,113.138359188,115.103869722,114.940954572
7,117.576333,75.301082811,92.6374344177,88.3851330112,89.8435355154,89.7885766286
8,387.616268,344.031119928,405.903798547,403.829160089,410.150563302,410.220717817
9,41.794956,46.9761499463,55.3551757226,55.1284351508,56.2002591951,56.014092066
10,290.493087,274.515434975,328.099640291,322.226442573,327.339813876,327.330618
11,173.968022,122.547621974,145.779491968,143.847195957,146.118145792,146.12507598
12,303.410378,291.661074408,354.740425881,342.355660265,347.872711104,347.774978936
13,558.564325,458.294240134,521.063674937,537.96906833,546.117130839,546.467397957
14,237.68071,154.222195262,185.804754929,181.024539869,183.924078785,183.893654593
15,73.521043,54.5643395973,68.3229882192,64.0421919406,65.1491606075,65.0622043069
16,410.199513,381.378389274,450.376696296,447.667596254,454.681629094,454.753385883
17,110.199513,81.7639421542,102.520550282,95.9641983872,97.6583137018,97.4948541891
18,94.716784,57.2758457615,70.4202338053,67.2189605057,68.4726390607,68.2953897411
19,381.157185,286.14336079,329.022636434,335.886833974,341.021718009,341.195686981
20,183.0,114.173118303,142.291299784,134.007630735,136.281647118,136.139368233
21,837.68071,697.863875632,792.157295554,819.189021849,831.580329663,832.128843765
22,480.708559,388.531349975,453.338444217,456.068715158,463.131884369,463.282533779
23,354.860515,259.834719307,308.070504309,304.996679865,309.794926304,309.825416949
24,93.916892,80.5266168881,100.974181591,94.5121288487,96.1782389069,96.0194746321
25,423.264154,324.654696529,381.840137405,381.085903184,387.032759698,387.116382371
26,162.917243,190.717628434,226.740949733,223.865723066,227.397751026,227.410597556
27,1706.319887,1525.75133204,1705.68360372,1791.02494258,1817.80039258,1819.29704804
28,179.067641,172.516044799,211.296153297,202.49327257,205.810436147,205.707136031
29,140.933211,119.571669508,152.919368087,140.345582945,142.843917437,142.576569516
30,87.616268,70.6353789533,88.0394208046,82.9001782407,84.4072719853,84.2252199808
31,518.324908,451.092919109,515.763109492,529.513644543,537.570347122,537.880584955
32,88.890949,115.353089972,139.734986724,135.399465249,137.58312743,137.546358208
