,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,530.872280571,517.492446805,527.889920213,531.152861668
1,406.170428,392.006927817,459.695050548,452.296778418,454.837995759,465.456937005
2,210.156482,252.939668125,307.47997543,298.102308476,310.669710899,302.823818866
3,149.303174,115.315350893,139.555226947,134.186065241,139.045253004,137.377766223
4,115.8912,79.8456602239,96.8795582633,92.8627833694,96.1985987274,95.1029680854
5,293.0,256.418363402,298.751557662,295.331293673,295.167424062,304.252630447
6,115.251596,96.3950935737,118.593449786,112.766297446,118.956797418,115.076372787
7,117.576333,75.301082811,92.1470989946,88.1760109827,93.053587821,89.9275198245
8,387.616268,344.031119928,408.903025187,398.215263996,405.20367072,409.004529732
9,41.794956,46.9761499463,58.4007809945,55.4022467409,57.9313572176,56.2581710125
10,290.493087,274.515434975,334.683542556,321.959010343,340.586547869,328.035154549
11,173.968022,122.547621974,145.84020562,141.858924673,144.436213532,145.696255307
12,303.410378,291.661074408,336.941853407,335.459728243,333.297605197,345.882070466
13,558.564325,458.294240134,551.549674627,533.600458767,552.568464933,546.092657121
14,237.68071,154.222195262,180.833984103,184.017482708,176.89804352,185.525743424
15,73.521043,54.5643395973,65.8976114429,64.763557747,64.7902796756,65.5060131122
16,410.199513,381.378389274,462.086642456,444.796206275,463.469904114,454.742879413
17,110.199513,81.7639421542,98.5623341048,94.6086717524,96.6789423351,97.1952113038
18,94.716784,57.2758457615,71.137806368,67.2200072923,71.6826313076,68.4625874288
19,381.157185,286.14336079,344.306016615,332.973672532,344.346647091,340.887323993
20,183.0,114.173118303,140.207055256,134.066116148,142.58027097,136.49768553
21,837.68071,697.863875632,845.232701303,816.073936207,855.438325137,832.963106127
22,480.708559,388.531349975,472.197511759,457.00981722,481.218231404,464.802557499
23,354.860515,259.834719307,314.315401151,302.680273827,314.35564236,309.674891657
24,93.916892,80.5266168881,96.6268640371,93.0617682123,94.686378312,95.6780777702
25,423.264154,324.654696529,377.657325064,373.868745981,373.335343238,385.19582207
26,162.917243,190.717628434,224.624654996,220.172136309,222.020561496,226.502392861
27,1706.319887,1525.75133204,1829.69960383,1774.70001051,1831.38860452,1817.34370246
28,179.067641,172.516044799,210.876635911,201.907354902,212.735913099,205.983467188
29,140.933211,119.571669508,128.720804342,135.944466553,128.538638606,141.153463381
30,87.616268,70.6353789533,86.5695075512,82.0979718273,85.2281185424,84.1133380324
31,518.324908,451.092919109,547.488558437,530.162473281,560.270160472,539.471946322
32,88.890949,115.353089972,100.975313259,128.907367171,109.816015278,135.219934448
