,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,530.872280571,517.492446805,528.684729083,531.153088166
1,406.170428,392.006927817,459.695050548,452.296778418,455.025479984,465.457274635
2,210.156482,252.939668125,307.47997543,298.102308476,309.513618456,302.823597782
3,149.303174,115.315350893,139.555226947,134.186065241,139.283024192,137.377784126
4,115.8912,79.8456602239,96.8795582633,92.8627833694,96.2690435726,95.102983617
5,293.0,256.418363402,298.751557662,295.331293673,295.157890382,304.252888789
6,115.251596,96.3950935737,118.593449786,112.766297446,119.257373733,115.076345055
7,117.576333,75.301082811,92.1470989946,88.1760109827,93.4494885493,89.9274927204
8,387.616268,344.031119928,408.903025187,398.215263996,405.458491642,409.004734308
9,41.794956,46.9761499463,58.4007809945,55.4022467409,57.4183997328,56.2581259188
10,290.493087,274.515434975,334.683542556,321.959010343,340.835724028,328.035022102
11,173.968022,122.547621974,145.84020562,141.858924673,144.500197157,145.696327314
12,303.410378,291.661074408,336.941853407,335.459728243,333.211243232,345.882397301
13,558.564325,458.294240134,551.549674627,533.600458767,554.397927845,546.092709961
14,237.68071,154.222195262,180.833984103,184.017482708,177.235121434,185.525456549
15,73.521043,54.5643395973,65.8976114429,64.763557747,64.5882176939,65.505933911
16,410.199513,381.378389274,462.086642456,444.796206275,465.01787531,454.742869218
17,110.199513,81.7639421542,98.5623341048,94.6086717524,96.4434296348,97.1952609795
18,94.716784,57.2758457615,71.137806368,67.2200072923,71.1427985349,68.4625553631
19,381.157185,286.14336079,344.306016615,332.973672532,345.334380111,340.887369913
20,183.0,114.173118303,140.207055256,134.066116148,141.653339328,136.497618363
21,837.68071,697.863875632,845.232701303,816.073936207,860.040046332,832.962939529
22,480.708559,388.531349975,472.197511759,457.00981722,479.423621575,464.802279888
23,354.860515,259.834719307,314.315401151,302.680273827,315.204930452,309.674909893
24,93.916892,80.5266168881,96.6268640371,93.0617682123,94.4386209382,95.6781349697
25,423.264154,324.654696529,377.657325064,373.868745981,373.384269942,385.19615336
26,162.917243,190.717628434,224.624654996,220.172136309,222.038371132,226.502547915
27,1706.319887,1525.75133204,1829.69960383,1774.70001051,1837.19574929,1817.34400459
28,179.067641,172.516044799,210.876635911,201.907354902,213.614290579,205.983412555
29,140.933211,119.571669508,128.720804342,135.944466553,128.210250594,141.153713802
30,87.616268,70.6353789533,86.5695075512,82.0979718273,85.0685545871,84.1133546102
31,518.324908,451.092919109,547.488558437,530.162473281,558.208792615,539.471654797
32,88.890949,115.353089972,100.975313259,128.907367171,108.551340409,135.220350679
