,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,530.871325353,517.494081912,527.265643174,531.165845408
1,406.170428,392.006927817,459.700217206,452.292682849,453.799187048,465.478002381
2,210.156482,252.939668125,307.480680032,298.10445192,308.403143603,302.809198439
3,149.303174,115.315350893,139.569646049,134.184325887,139.170432413,137.379035394
4,115.8912,79.8456602239,96.8924726943,92.8604332737,96.2499066441,95.1042571801
5,293.0,256.418363402,298.756191946,295.3267096,294.40147514,304.269095579
6,115.251596,96.3950935737,118.609889677,112.762327918,119.485969439,115.075224869
7,117.576333,75.301082811,92.15733052,88.1747167457,93.5447257131,89.9259602519
8,387.616268,344.031119928,408.923026542,398.211787264,404.580973518,409.017339928
9,41.794956,46.9761499463,58.3994696483,55.3983839897,57.4698730852,56.2559038006
10,290.493087,274.515434975,334.702760736,321.95918082,339.981754178,328.026440086
11,173.968022,122.547621974,145.849358553,141.857259536,144.215944461,145.700849153
12,303.410378,291.661074408,336.948530996,335.452233905,332.806872113,345.903303155
13,558.564325,458.294240134,551.553067667,533.605029988,553.307907048,546.094291787
14,237.68071,154.222195262,180.791495231,184.020412219,179.502354762,185.506905588
15,73.521043,54.5643395973,65.8951927192,64.7626647253,64.9883934132,65.5011165314
16,410.199513,381.378389274,462.116488145,444.795724132,464.585258818,454.741742239
17,110.199513,81.7639421542,98.574346528,94.6033068508,96.5076337931,97.1991633181
18,94.716784,57.2758457615,71.143371843,67.2159964905,71.1164949388,68.4611870382
19,381.157185,286.14336079,344.314194949,332.97531563,344.681512377,340.889391779
20,183.0,114.173118303,140.222397556,134.063249538,141.145644724,136.493848751
21,837.68071,697.863875632,845.229204669,816.084615102,859.155415599,832.949505676
22,480.708559,388.531349975,472.195423226,457.014987278,476.57889178,464.783613205
23,354.860515,259.834719307,314.338119092,302.679141098,314.861825667,309.675838786
24,93.916892,80.5266168881,96.6378777967,93.0563913029,94.488933803,95.6825021579
25,423.264154,324.654696529,377.658050885,373.863867073,372.361722627,385.216743453
26,162.917243,190.717628434,224.6344333,220.168951384,221.534441735,226.512310969
27,1706.319887,1525.75133204,1829.6601106,1774.72112101,1832.73728678,1817.35574034
28,179.067641,172.516044799,210.89930477,201.904787554,213.774470204,205.980287115
29,140.933211,119.571669508,128.70162482,135.934549691,128.654791551,141.170641919
30,87.616268,70.6353789533,86.5797457936,82.0927802198,85.2289960998,84.1151970277
31,518.324908,451.092919109,547.474158301,530.170931986,554.543939186,539.45137924
32,88.890949,115.353089972,100.881824192,128.899501008,109.186769558,135.246903262
