,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,530.363245063,517.498332174,528.278118542,531.152327325
1,406.170428,392.006927817,459.060860692,452.296962402,454.255331979,465.458551511
2,210.156482,252.939668125,307.267893627,298.105332079,308.966250821,302.820676159
3,149.303174,115.315350893,139.425529688,134.185258602,139.275449337,137.377737579
4,115.8912,79.8456602239,96.7732401258,92.8610930057,96.2676276115,95.1031778235
5,293.0,256.418363402,298.273098694,295.329652769,294.565787774,304.254325277
6,115.251596,96.3950935737,118.461402436,112.762926197,119.376118985,115.076448575
7,117.576333,75.301082811,92.0698384829,88.1751585067,93.5446712751,89.9272312159
8,387.616268,344.031119928,408.435821298,398.215184768,405.070809945,409.005252667
9,41.794956,46.9761499463,58.2940164202,55.398532472,57.4319232481,56.2582115886
10,290.493087,274.515434975,334.460082329,321.960635995,340.696998663,328.032964921
11,173.968022,122.547621974,145.669603105,141.858466606,144.367939103,145.696587261
12,303.410378,291.661074408,337.497662156,335.453915923,332.781876424,345.885473566
13,558.564325,458.294240134,551.16949395,533.608651179,554.303517131,546.090231689
14,237.68071,154.222195262,180.56535191,184.020181086,178.632448887,185.522341308
15,73.521043,54.5643395973,65.8097051804,64.7627015589,64.8343897813,65.505316911
16,410.199513,381.378389274,461.747326507,444.798511097,465.097255309,454.741284315
17,110.199513,81.7639421542,98.3853983132,94.6041212136,96.3765833115,97.1961976916
18,94.716784,57.2758457615,71.0302286264,67.2162835558,71.1738666942,68.4627510079
19,381.157185,286.14336079,344.050377019,332.977631809,345.260358296,340.886140762
20,183.0,114.173118303,140.074872799,134.063802539,141.42848286,136.497196051
21,837.68071,697.863875632,844.766692962,816.089063295,860.475236901,832.956866297
22,480.708559,388.531349975,471.916244826,457.016628452,477.954234237,464.797850973
23,354.860515,259.834719307,314.06590252,302.681147646,315.208982829,309.674144501
24,93.916892,80.5266168881,96.4439592338,93.0572258827,94.3464815495,95.6791318576
25,423.264154,324.654696529,377.057235197,373.867608784,372.617457107,385.197821321
26,162.917243,190.717628434,224.31212028,220.170998686,221.698723194,226.503338803
27,1706.319887,1525.75133204,1828.42553529,1774.73370076,1836.5800816,1817.33538517
28,179.067641,172.516044799,210.704569242,201.905832422,213.805892443,205.982794085
29,140.933211,119.571669508,129.440774425,135.934476901,128.248021497,141.157549517
30,87.616268,70.6353789533,86.4239527337,82.093377668,85.0875647833,84.114060938
31,518.324908,451.092919109,547.194912648,530.172977593,556.289543182,539.466241465
32,88.890949,115.353089972,100.057648131,128.901791987,110.642200175,135.223991195
