,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,530.871325353,517.516328919,528.691693148,531.164088939
1,406.170428,392.006927817,459.700217206,452.33591913,454.845105464,465.475410698
2,210.156482,252.939668125,307.480680032,298.092015688,309.695235098,302.810827277
3,149.303174,115.315350893,139.569646049,134.186154333,139.407887638,137.378883332
4,115.8912,79.8456602239,96.8924726943,92.8626027189,96.3872228559,95.1041267602
5,293.0,256.418363402,298.756191946,295.362279989,295.025551168,304.267116019
6,115.251596,96.3950935737,118.609889677,112.761408101,119.523903366,115.075414276
7,117.576333,75.301082811,92.15733052,88.1728150717,93.617441738,89.9261516682
8,387.616268,344.031119928,408.923026542,398.235505728,405.518967687,409.015754487
9,41.794956,46.9761499463,58.3994696483,55.3980701407,57.522249448,56.2562299985
10,290.493087,274.515434975,334.702760736,321.948340167,341.545656462,328.027397526
11,173.968022,122.547621974,145.849358553,141.865794892,144.53683782,145.700290316
12,303.410378,291.661074408,336.948530996,335.499053146,333.023242593,345.900797852
13,558.564325,458.294240134,551.553067667,533.60477265,554.55633124,546.09384103
14,237.68071,154.222195262,180.791495231,184.025355528,176.011868069,185.509045857
15,73.521043,54.5643395973,65.8951927192,64.7622277872,64.3898257763,65.5017025857
16,410.199513,381.378389274,462.116488145,444.792373099,465.379648895,454.741767388
17,110.199513,81.7639421542,98.574346528,94.6113608237,96.5881641366,97.1987723922
18,94.716784,57.2758457615,71.143371843,67.215478003,71.6280223236,68.4614139875
19,381.157185,286.14336079,344.314194949,332.977104661,345.452901289,340.889011628
20,183.0,114.173118303,140.222397556,134.059712355,142.386226793,136.494333194
21,837.68071,697.863875632,845.229204669,816.061311919,860.663335238,832.950678376
22,480.708559,388.531349975,472.195423226,456.995035533,480.203743545,464.785652545
23,354.860515,259.834719307,314.338119092,302.679622452,315.432048509,309.675665884
24,93.916892,80.5266168881,96.6378777967,93.06561318,94.5630878984,95.6820549336
25,423.264154,324.654696529,377.658050885,373.909173198,373.181535398,385.214206743
26,162.917243,190.717628434,224.6344333,220.189085094,222.006250607,226.511117656
27,1706.319887,1525.75133204,1829.6601106,1774.73088336,1837.35233715,1817.35330097
28,179.067641,172.516044799,210.89930477,201.900666248,213.966295779,205.980670267
29,140.933211,119.571669508,128.70162482,135.980885086,127.958718801,141.168729263
30,87.616268,70.6353789533,86.5797457936,82.0965549471,85.265565658,84.1150559896
31,518.324908,451.092919109,547.474158301,530.147085089,559.591823108,539.453519527
32,88.890949,115.353089972,100.881824192,128.987721783,104.871615044,135.243721396
