,feature_removed,time_baseline,time_linear_regression,time_SVM,time_NN,time_GP,ratio_baseline,ratio_linear_regression,ratio_SVM,ratio_NN,ratio_GP
0,None,4170.55718859,1619.19683025,1268.2813464,1750.75984918,1566.5393086,0.0898443103801,0.0272286503882,0.0336446312697,0.0280759791644,0.0317977131041
1,weather,4170.55718859,1606.50578867,1268.01659473,1727.19667369,1566.27725996,0.0898443103801,0.0272749751081,0.0336371403257,0.0283394215888,0.031793186528
2,rush_hour,4170.55718859,1619.19683025,1267.96127905,1680.13867784,1566.57786073,0.0898443103801,0.0272286503882,0.0336376674029,0.0280678195858,0.0317984618954
3,baseline_result,4170.55718859,1315.99381945,1381.3479216,1598.1018811,1597.33036027,0.0898443103801,0.0306066198745,0.0341339511636,0.0322908045545,0.0323631626412
4,ratio_current_trip,4170.55718859,1619.32337525,1267.90976541,1701.08461447,1566.31789841,0.0898443103801,0.0272371635344,0.0336346617098,0.0284132190597,0.0317924002123
5,ratio_prev_trip,4170.55718859,1619.32337525,1267.90976541,1743.39055529,1566.32278836,0.0898443103801,0.0272371635344,0.0336346617098,0.0284331701797,0.031792501207
6,prev_arrival_time,4170.55718859,1300.2101753,1381.56589659,1586.31522577,1597.33182623,0.0898443103801,0.0292562214744,0.0341351066068,0.0322360818829,0.0323631648582
7,weatherANDrush_hour,4170.55718859,1606.50578867,1250.1582196,1677.8036707,1566.28724284,0.0898443103801,0.0272749751081,0.0335693684671,0.0284080027013,0.0317933744938
8,weatherANDbaseline_result,4170.55718859,1292.61873875,1381.40969593,1618.34645825,1597.33071567,0.0898443103801,0.030534531152,0.0341362479685,0.0323523400928,0.0323631617713
9,weatherANDratio_current_trip,4170.55718859,1606.67546386,1250.00761688,1726.93153003,1566.04636509,0.0898443103801,0.0272834141806,0.0335650017112,0.0281158726827,0.0317877023473
10,weatherANDratio_prev_trip,4170.55718859,1606.67546386,1250.00761688,1749.5383541,1566.04883009,0.0898443103801,0.0272834141806,0.0335650017112,0.0282606038242,0.0317877495848
11,weatherANDprev_arrival_time,4170.55718859,1355.56111722,1381.66628072,1602.43778519,1597.28736451,0.0898443103801,0.0287868203555,0.0341375731467,0.0323001677299,0.0323629864283
12,rush_hourANDbaseline_result,4170.55718859,1315.99381945,1381.40846612,1623.18463812,1597.33088664,0.0898443103801,0.0306066198745,0.0341362330383,0.0323617350346,0.0323631624244
13,rush_hourANDratio_current_trip,4170.55718859,1619.32337525,1249.98126161,1754.74089491,1566.31328143,0.0898443103801,0.0272371635344,0.0335659098421,0.0290367870503,0.0317923218349
14,rush_hourANDratio_prev_trip,4170.55718859,1619.32337525,1249.98126161,1771.71495089,1566.29175977,0.0898443103801,0.0272371635344,0.0335659098421,0.028437230779,0.0317919424724
15,rush_hourANDprev_arrival_time,4170.55718859,1300.2101753,1381.68098468,1619.48662168,1597.33194885,0.0898443103801,0.0292562214744,0.0341376762902,0.0323255225778,0.032363166071
16,baseline_resultANDratio_current_trip,4170.55718859,1394.02227096,1381.2553543,1597.78512104,1597.33068388,0.0898443103801,0.0311562734404,0.0341305411635,0.0323020626456,0.0323630941302
17,baseline_resultANDratio_prev_trip,4170.55718859,1394.02227096,1381.2553543,1610.79650271,1597.33158647,0.0898443103801,0.0311562734404,0.0341305411635,0.0322697998893,0.0323631685601
18,baseline_resultANDprev_arrival_time,4170.55718859,1971.5855559,1417.97491944,1860.59635932,1597.33458396,0.0898443103801,0.0339418443318,0.033882083242,0.0331575185561,0.0323631122299
19,ratio_current_tripANDratio_prev_trip,4170.55718859,1795.6664088,1249.83138138,1506.04896834,1566.0844772,0.0898443103801,0.0277445774902,0.033561527969,0.0293287337376,0.0317868611055
20,ratio_current_tripANDprev_arrival_time,4170.55718859,1291.2893281,1381.39759724,1648.40131678,1597.33202173,0.0898443103801,0.0302541438831,0.0341313504263,0.0324338161364,0.0323631664055
21,ratio_prev_tripANDprev_arrival_time,4170.55718859,1291.2893281,1381.39759724,1614.4978367,1597.33075618,0.0898443103801,0.0302541438831,0.0341313504263,0.0323299339482,0.0323631636464
