,baseline,single_linear_regression,single_SVM,single_NN,single_GP,MTL_GP,multiple_linear_regression,multiple_SVM,multiple_NN,multiple_GP,sample_size,num_shapes
0,164234.680293,47374.1179918,68255.6451287,46823.4655596,44628.7662831,44117.9797432,43461.5561499,67019.4208353,43500.638593,42048.3736308,969.0,15.0
1,181521.998381,55373.9014415,78170.0126036,60600.7583379,55338.5146677,61024.9581444,61313.4074361,84403.7620413,61137.7786651,59044.2318131,1938.0,15.0
2,144686.783247,45007.1684714,61938.655839,46595.2288153,45366.1370397,66543.320159,49006.3274628,67244.0290859,48313.2745975,47679.245315,2907.0,15.0
3,141973.636006,41706.6116356,59980.3177408,45239.9334078,41011.971051,59029.4516333,48324.9985732,65365.9470302,48119.527651,46407.675804,3876.0,15.0
4,128771.973327,39740.5080859,54773.2762808,43491.3827304,38947.4966406,52679.6257441,46000.1879351,58941.7103235,46797.4571499,45910.7706184,4845.0,15.0
5,115092.748096,38338.1072678,47019.5691439,37818.9555392,37188.2491983,55331.7755483,44711.6643573,51811.1917832,44496.4961694,44264.0747413,5814.0,15.0
6,117882.140468,42109.4955478,51236.9438196,41281.0098835,41601.8407739,56245.5658924,45980.1264712,55457.6058774,45591.5757428,43579.2572629,6783.0,15.0
7,125766.802357,38604.1731021,50657.5302975,38113.1847487,37657.4984888,56184.5325652,45491.3493497,55548.6114809,44320.6951129,42605.3618965,7752.0,15.0
8,136306.307628,41025.4314407,53795.9113263,41699.0520174,39542.9773722,66594.1881496,46829.5672902,58719.7247274,46691.254379,45276.0551181,8721.0,15.0
9,141069.194991,46288.5781116,57950.4130291,46933.4329597,45493.4500522,78588.5345162,53761.123092,63700.5551417,52627.9929686,51729.6294421,9690.0,15.0
10,137786.650166,41785.4790289,52168.6666707,42646.6021832,40466.2591339,70082.6491252,49264.5396783,58385.3134673,49602.4439124,48164.2899004,10659.0,15.0
