,actual,baseline,GP_RBF_ARD,GP_RBF_NoARD,GP_Matern32_ARD,GP_Matern32_NoARD,GP_Matern52_ARD,GP_Matern52_NoARD,GP_Linear_ARD,GP_Linear_NoARD
0,1111.456714,820.424899998,857.652941526,864.946207518,850.52924743,867.549171796,857.47029477,867.063224678,844.932299325,844.734078794
1,114.941771,118.714155723,127.149753289,135.319379134,131.824883076,138.603965379,126.884191491,135.357422179,148.880773134,149.581127267
2,765.509318,705.09738394,735.458986598,741.73734196,728.191159107,743.225661874,734.733509206,743.37060085,712.0829055,713.222027253
3,966.740317,856.30052813,978.308731686,973.174724572,993.015652493,978.232985622,983.184268725,972.15097516,1052.98462982,1050.69748356
4,2377.03655,2409.05652502,2669.53241891,2683.70374893,2692.82636045,2700.36700972,2683.89732209,2689.05538764,2797.48883679,2799.22541622
5,199.898084,174.080676639,197.74022194,211.306694426,189.908740026,220.455811137,199.083659227,213.307114083,251.485077085,249.966174254
6,1953.123003,1052.28526856,1183.55508595,1183.36215958,1200.74254186,1186.93287583,1190.4675138,1186.55712058,1232.76750377,1233.08046811
7,84.742879,99.9653849741,120.961537512,121.392894447,120.807624809,118.017323496,121.213524563,122.327715562,120.666459062,120.54802207
8,618.251787,619.775592348,668.435062487,666.948893928,670.204441834,664.129820736,669.595591226,670.338491217,643.357154633,643.510908473
9,1210.0,1063.85309448,1248.06368839,1240.75831436,1265.56424378,1239.03349265,1252.6801414,1236.37168885,1338.13499064,1338.38497014
10,1020.253457,967.429973592,1017.45558602,1025.43449406,1011.68772584,1028.8333345,1018.46849417,1029.18717839,998.939145147,1000.20772794
11,803.359454,658.763377323,730.303618509,743.152730128,725.141409408,749.366124776,732.225365187,742.487294972,789.806485742,790.775866597
12,774.662342,628.606751912,709.940342788,709.876581975,719.163909629,710.692443954,713.829359928,712.35227935,736.936180231,737.06243364
13,914.370129,681.4635336,783.047918837,781.483798048,793.981751909,782.097634486,786.996176486,782.368194896,825.325386652,825.43791297
14,857.673612,668.825808466,723.1298374,722.023545925,725.909564574,719.573852221,724.82174546,725.910019532,701.36946088,701.542780069
15,1300.100656,1026.66957182,1082.11997046,1078.47532472,1085.82996594,1078.56246127,1083.6137915,1082.72791647,1039.67356375,1038.76192767
16,401.0,486.629590717,534.973801469,547.465240879,528.63088049,552.680018368,535.829153417,547.323035161,580.130677038,581.019688495
17,158.438941,232.882160609,252.494923892,261.769477272,251.220247518,264.26061754,251.79828592,262.130847301,273.031449497,273.786195752
18,501.682018,515.834952006,609.444429885,619.967607578,594.427544925,617.287983647,608.048114214,616.233764185,684.519669886,685.277145551
19,193.780392,110.306354092,180.808793722,174.310391463,178.431168424,174.594244292,178.950216203,176.245610231,182.027252014,181.952241133
20,1096.051641,1028.22527534,1160.06655252,1159.3060133,1178.08825191,1163.5605686,1166.90985452,1161.17735707,1215.45645317,1215.79721911
21,416.807338,451.164931911,482.782820195,480.509777624,482.443823288,477.44589127,482.725539226,482.381325784,453.812323911,453.914010184
22,1306.051092,1224.66921225,1630.30731792,1620.45086483,1599.44817896,1604.56789338,1620.8683308,1613.94935179,1768.84845085,1769.68335124
23,320.394581,419.339745126,404.980407254,396.157045109,401.656880585,401.551737228,400.467248208,396.260649397,314.197405468,312.896204094
24,296.619378,291.655485949,314.942643372,326.347496957,310.487839449,330.726694767,314.746228937,326.248349992,346.141635289,346.959933386
25,255.515232,234.125173664,218.795295527,222.038406502,224.150987108,231.800809647,220.614936098,231.326133311,140.515506796,140.560684224
26,843.308221,882.810647276,955.862330888,956.068935626,964.714069687,957.761666981,960.244276582,961.479492297,951.256908395,951.612548544
27,795.798252,822.524443215,952.18076706,962.108189536,944.047060805,962.028683688,952.97201458,956.874900399,1048.67794622,1049.62050752
28,1271.316435,1148.68201872,1277.47057305,1277.96338437,1297.24225136,1284.20850658,1285.50277836,1281.62508771,1325.70417872,1326.17191836
29,2620.536473,629.149334502,1157.02435402,1102.43793117,1141.41175447,1114.51349869,1144.7157343,1125.87686144,1127.17591161,1126.22592212
30,411.352143,412.626351707,507.017019616,500.496342843,510.623745038,495.027164103,507.012784739,497.359807112,549.235624374,549.245671718
31,836.370844,951.005402627,944.04903254,932.067568006,928.172176389,932.104663962,935.424348075,925.792887164,807.413016391,807.407544736
32,1206.3391,846.643111229,959.159615788,970.80089216,954.699982508,975.529931471,961.478734309,968.525899682,1042.15087291,1043.11778437
33,2294.053586,1947.6261882,2125.52563021,2140.02318744,2137.61065126,2152.8041858,2136.09988665,2148.04023363,2192.73964428,2194.33669012
34,558.564325,458.294240134,518.536653652,518.221626326,526.041172562,519.502633081,521.472947944,519.389199005,542.068876149,542.188946104
35,1005.300627,933.024464278,992.18685093,1003.3002451,988.803721506,1009.37426359,994.880876771,1007.44760487,1002.50944648,1003.74014221
36,396.0,283.649028604,348.790202231,345.065574391,351.327191031,341.73987208,349.088046629,344.233832593,375.939022342,375.851064572
37,1682.99481,1376.99978184,1539.68847137,1549.50999161,1545.37977357,1562.40998745,1546.07986053,1547.39778935,1664.89144616,1663.64689146
38,387.543493,556.412613485,535.516332567,523.966086791,534.841834244,538.110212139,531.722823502,530.701595576,387.497468673,387.761597996
39,1172.394364,814.170400812,1094.58610963,1092.75489289,1065.32383172,1093.32678637,1089.01189488,1092.68980376,1200.16947106,1198.76615582
40,1054.035884,670.145245463,915.680031617,919.62633852,887.542112661,921.090586746,911.08243863,921.221321482,999.318264173,998.932909639
41,994.0,727.588809338,837.854008716,835.717818216,849.963195283,836.609112683,842.011131531,835.9128037,886.347073431,886.489672819
42,914.863371,1136.99020452,1153.27117002,1136.05917978,1146.51241098,1134.7905218,1146.78375564,1134.43217784,1013.03818144,1012.22481543
43,1521.922288,1712.50028819,1803.89713032,1809.40882225,1800.24131618,1812.95744736,1806.35934871,1816.72515853,1750.16066744,1751.80427124
44,2048.878168,2349.45449664,2578.94660365,2593.96452282,2599.35363926,2610.35884711,2592.8086308,2602.05130192,2677.03831182,2678.81594996
45,229.726026,152.303294862,218.688473252,210.600919176,214.990702216,206.055592691,216.293005486,210.57643809,235.601879375,235.466051091
46,342.174901,294.991278581,306.07699205,314.460003676,303.647137105,318.60928396,305.327532454,314.695424654,324.196097076,323.745579686
47,1165.106965,1235.35285514,1374.77991717,1373.12393736,1395.97369212,1382.15363459,1383.14631491,1375.93435281,1447.41294605,1445.29863782
48,842.956149,802.424322759,880.835814109,881.090460876,889.860817454,882.878030263,885.197976485,885.511597944,898.45759934,897.354550657
49,686.2343,908.110358582,1113.28798902,1099.06635283,1121.82642033,1086.90735952,1113.29361515,1091.04162671,1206.39621727,1206.52902247
50,2082.401875,2066.01548246,2177.68453344,2183.17151245,2177.12033785,2188.7133181,2181.76733069,2192.61525923,2117.50474842,2119.36414549
51,514.034239,375.972633042,447.922078562,440.226899438,451.85803511,440.669008635,448.622110045,438.066706049,497.972110079,495.589833219
52,2095.153241,1533.72070364,1805.90825696,1794.09900561,1830.70308787,1790.06500772,1812.02515072,1786.42558663,1940.1518577,1940.53226617
53,1037.488234,1022.89380394,1072.13289981,1078.50392865,1065.34833014,1080.83018968,1072.44588306,1081.98690226,1040.14744066,1041.44894827
54,1047.63781,1115.45320294,1379.83859186,1378.18366684,1360.74068618,1361.96640531,1375.56322478,1367.87690278,1522.64220377,1523.49104683
55,2989.438216,2581.43471723,2804.41455484,2819.36204495,2823.80088001,2834.80645386,2818.6107729,2831.68481096,2866.34586742,2868.27458915
56,1007.0,1000.74878145,1147.01494934,1157.1663874,1143.56420859,1160.16737678,1149.51315562,1152.76648902,1250.40541419,1251.41898843
57,2402.19851,1960.38170241,2030.03806406,2011.22427622,2027.42204014,2008.44200308,2026.28878498,2015.16579529,1853.90904463,1854.94854952
58,615.58853,685.486533921,732.684929931,743.855063416,727.758887534,748.447750158,734.212996482,746.613969374,749.408499386,750.46157379
59,1408.0,1408.30149402,1604.75520691,1614.53971299,1609.68022577,1620.75977605,1610.23628302,1609.90930667,1733.24474343,1734.45585101
60,956.843213,873.122196466,979.056907677,978.027253091,993.191233144,982.398227411,984.706065634,980.382624921,1027.6784701,1026.64438103
61,1236.989636,1031.49140476,1151.05568114,1151.38255113,1168.08950941,1155.95074107,1158.05445616,1154.91836658,1194.12329324,1194.4920966
62,688.864109,660.55546783,723.022654725,735.800525565,718.449000082,742.070582012,725.102994851,736.803174508,769.276375924,770.26036292
63,150.708047,125.694865413,161.279480093,182.424768182,159.486182698,189.508764257,165.02849387,186.271923082,195.835235856,196.378379283
64,3062.530107,1590.26649895,1757.39653897,1758.7014696,1783.16421796,1767.04607404,1768.34396643,1765.24889209,1810.85510697,1811.51717197
65,1620.60108,1404.93349992,1658.72429644,1661.64902897,1655.5589376,1654.56304566,1660.03348007,1650.67190706,1816.54447621,1817.64809976
66,1015.375131,715.364742968,787.368259788,787.924398142,795.112283944,788.25007779,791.234358039,792.317235205,793.937237763,794.137210211
67,869.530234,573.341172861,1061.04172888,1046.75068736,1072.14720971,1058.23390818,1059.92442041,1055.1954122,969.407873916,969.291240332
68,251.40666,144.32200719,175.781126843,174.806611109,177.132746561,173.038531822,176.205587416,175.187375484,186.836788187,186.759388137
69,35.021247,59.4350358592,70.7368494231,63.1048957336,65.6175665432,62.1200976592,68.4292258391,60.7801438336,54.9691510204,55.7742762346
70,452.74372,416.780304871,485.147294188,483.623263859,491.394619199,483.054643272,487.280131899,483.963319817,513.516804299,513.538832856
71,302.013211,320.844889047,437.210266049,452.99973121,416.167920701,457.004167875,436.323796451,456.219322579,487.640420177,488.212873254
72,1459.923444,1256.05709483,1367.77036604,1381.27202515,1369.84772733,1390.03251163,1373.63022547,1386.10837046,1416.55008627,1417.82430525
73,156.803874,214.283429045,253.524796482,252.597921819,256.181717839,251.354629328,254.450765855,253.051729218,268.19369328,268.152556709
74,420.127306,431.070978336,489.961577868,500.677721203,478.262371088,503.755580564,489.469735875,498.42711459,557.273756196,556.852219666
75,31.966641,52.7009561244,61.9316307564,63.0873805309,62.8541561868,62.2296777147,63.018449868,66.0963846314,52.2054576942,52.0777438805
76,545.905819,823.719457852,804.144164121,784.754303049,797.140868542,793.373377509,795.746268077,784.119621112,635.692693529,634.668078469
77,807.889793,731.00475279,853.856786756,850.256433682,865.305515338,849.474254489,857.40532997,849.559923587,908.743758345,908.823728909
78,679.721825,727.642369593,786.509633582,786.454799909,793.331393023,788.150876665,789.877081699,790.502885106,790.30471641,789.222205359
79,724.729639,631.695842292,672.95861928,671.529316673,675.328652323,670.670545002,674.139406072,674.325468909,655.830652675,654.66984358
80,636.067235,624.799132473,620.238085809,611.190416145,608.698411655,611.471644894,614.167910711,606.528271048,510.981934734,512.198306102
81,1308.294437,1044.73661713,1112.96293955,1122.98518809,1108.63425175,1126.7351203,1115.29713966,1127.82234786,1110.8357451,1112.060865
82,697.102402,651.180767155,673.405647519,677.541371501,665.382387886,677.958163153,671.626740578,677.921383754,638.805837774,639.941315884
83,768.653247,432.911479057,518.479180655,509.748431452,522.805054672,509.327259967,519.129262215,507.107053955,574.543896795,572.168091447
84,477.972117,550.449062683,614.599267894,615.003968075,618.670632701,612.064978973,617.00419715,618.749514329,616.426237059,616.450000233
