,actual,baseline,identity,logistic,tanh,relu
0,1111.456714,820.424899998,856.721012623,932.550155925,851.045016094,840.078277113
1,114.941771,118.714155723,152.668901374,161.64562316,151.731090924,135.977992301
2,765.509318,705.09738394,726.179618952,792.853661558,721.469302201,719.210943265
3,966.740317,856.30052813,1048.50323766,1120.60018072,1041.05087111,949.254541198
4,2377.03655,2409.05652502,2815.17789581,3037.8615243,2799.61011633,2611.34858135
5,199.898084,174.080676639,254.749062005,268.795560756,253.04279218,211.673844708
6,1953.123003,1052.28526856,1233.13944211,1324.43452815,1224.28005995,1145.23970863
7,84.742879,99.9653849741,115.037198099,116.585068805,111.890746306,112.07281788
8,618.251787,619.775592348,644.761822796,695.83504285,637.748531151,639.55301116
9,1210.0,1063.85309448,1337.45638068,1428.17023683,1327.8156429,1202.49951302
10,1020.253457,967.429973592,1015.37640273,1107.32929865,1009.19780701,994.755063759
11,803.359454,658.763377323,797.668534901,858.009532305,793.606293248,727.552520062
12,774.662342,628.606751912,734.693929433,786.291816118,728.4866142,684.588480797
13,914.370129,681.4635336,822.017020012,877.22188713,815.108456898,754.670943984
14,857.673612,668.825808466,702.7544626,758.317441186,695.471044568,692.934147278
15,1300.100656,1026.66957182,1048.80951631,1142.70491023,1040.16670272,1042.34654069
16,401.0,486.629590717,586.464149894,630.146301604,583.338609306,536.351782001
17,158.438941,232.882160609,276.200414006,294.089516123,274.062355408,255.99294948
18,501.682018,515.834952006,689.38334779,732.440687391,684.446061322,602.774794332
19,193.780392,110.306354092,181.533169051,186.97144331,178.328759608,181.585096827
20,1096.051641,1028.22527534,1217.31203052,1308.40295306,1209.25595629,1124.0554701
21,416.807338,451.164931911,455.415604464,491.925091039,449.771503921,459.856402382
22,1306.051092,1224.66921225,1788.46353037,1894.35237872,1773.44437296,1597.42127243
23,320.394581,419.339745126,329.271261785,367.766100285,322.298844726,379.117434392
24,296.619378,291.655485949,351.819968225,377.86802041,350.113590798,321.567537794
25,255.515232,234.125173664,154.772030418,172.839507,147.346068379,201.730707297
26,843.308221,882.810647276,956.535616243,1036.35045246,949.502784922,923.414901812
27,795.798252,822.524443215,1056.54374038,1130.00490358,1050.34688653,938.801036124
28,1271.316435,1148.68201872,1331.23833709,1436.68738777,1323.30795979,1240.32272308
29,2620.536473,629.149334502,1109.73564675,1117.27628082,1082.22860217,1152.5461241
30,411.352143,412.626351707,546.459002245,577.998346308,541.375201114,481.344385736
31,836.370844,951.005402627,839.92179609,934.32108078,831.241142137,902.411385024
32,1206.3391,846.643111229,1048.58466644,1123.39774288,1042.29645312,947.769483262
33,2294.053586,1947.6261882,2209.95243959,2390.82760652,2197.46089217,2079.27991633
34,558.564325,458.294240134,541.580931754,580.640775832,537.517212141,501.265059026
35,1005.300627,933.024464278,1016.82612477,1105.80545894,1011.49984246,975.917380203
36,396.0,283.649028604,369.537830435,386.550529983,364.762598192,329.91430451
37,1682.99481,1376.99978184,1672.93017985,1798.75320835,1664.19959422,1518.77461271
38,387.543493,556.412613485,414.147484469,464.563896426,402.854983827,497.190875141
39,1172.394364,814.170400812,1213.24020902,1282.02103055,1202.50695896,1098.7480429
40,1054.035884,670.145245463,1012.01622354,1067.73142323,1002.45259306,935.388453284
41,994.0,727.588809338,883.843426427,943.969054388,876.819014206,808.119926096
42,914.863371,1136.99020452,1037.85602057,1145.85978635,1026.20605813,1097.43550777
43,1521.922288,1712.50028819,1775.84794506,1937.85159099,1763.8563825,1751.92978531
44,2048.878168,2349.45449664,2696.86435676,2916.03420117,2682.15326658,2522.54904477
45,229.726026,152.303294862,230.477474244,236.004122228,226.309397702,201.754567189
46,342.174901,294.991278581,328.873014089,354.987392056,327.232983356,310.096557607
47,1165.106965,1235.35285514,1447.42611063,1557.45089487,1438.35776137,1337.57176491
48,842.956149,802.424322759,896.536155071,964.014355528,889.075216329,851.547580608
49,686.2343,908.110358582,1205.44949773,1280.22743423,1195.74308889,1058.3845407
50,2082.401875,2066.01548246,2148.49114855,2345.88956741,2134.66172216,2115.00364355
51,514.034239,375.972633042,492.078065685,520.191978056,487.739539923,430.891273021
52,2095.153241,1533.72070364,1940.52061975,2072.48802583,1926.87343975,1739.10631293
53,1037.488234,1022.89380394,1058.00659113,1154.96325254,1051.08218051,1045.16930269
54,1047.63781,1115.45320294,1531.04246762,1625.29124567,1519.36550909,1322.61374525
55,2989.438216,2581.43471723,2889.99169835,3131.44628578,2873.5252441,2737.45907901
56,1007.0,1000.74878145,1258.01918657,1347.12943733,1250.56331535,1129.12029189
57,2402.19851,1960.38170241,1888.97786393,2075.05152757,1871.47912817,1941.90337109
58,615.58853,685.486533921,759.119990567,822.381059426,754.801767597,723.593952801
59,1408.0,1408.30149402,1743.83577609,1871.79389444,1734.07832755,1575.14700876
60,956.843213,873.122196466,1025.69193414,1100.46557168,1018.27564562,949.182032374
61,1236.989636,1031.49140476,1197.01151279,1289.27654835,1189.14582174,1115.68470538
62,688.864109,660.55546783,776.941403066,837.061279286,772.774801812,718.665309715
