,actual,baseline,lbfgs,sgd,adam
0,1111.456714,820.424899998,857.431193626,879.947180784,895.107399833
1,114.941771,118.714155723,137.884871378,148.650717878,141.393920255
2,765.509318,705.09738394,738.002563027,748.5701402,767.140440881
3,966.740317,856.30052813,969.41521822,1041.02420423,991.988237205
4,2377.03655,2409.05652502,2692.26327909,2835.9702675,2749.85268753
5,199.898084,174.080676639,206.718159115,256.953457096,219.989619879
6,1953.123003,1052.28526856,1189.38535629,1234.26097571,1203.38796812
7,84.742879,99.9653849741,123.339263335,106.389236235,114.614329469
8,618.251787,619.775592348,667.45383449,654.049452127,677.743613336
9,1210.0,1063.85309448,1240.53147788,1321.36592389,1252.77117511
10,1020.253457,967.429973592,1022.07319006,1044.17398905,1059.90005327
11,803.359454,658.763377323,744.612413003,797.910287844,762.533333283
12,774.662342,628.606751912,715.032774067,731.980435138,718.63905921
13,914.370129,681.4635336,785.355996793,814.014563267,788.749420746
14,857.673612,668.825808466,722.60461368,712.409278203,734.074104263
15,1300.100656,1026.66957182,1072.02123986,1079.81771799,1111.39199261
16,401.0,486.629590717,549.396380103,585.941754524,562.472557922
17,158.438941,232.882160609,264.339501364,272.789581024,268.146479849
18,501.682018,515.834952006,618.90493026,672.832890796,628.089719558
19,193.780392,110.306354092,179.979901203,181.984852198,175.70228594
20,1096.051641,1028.22527534,1163.23747716,1218.76514072,1180.17307611
21,416.807338,451.164931911,481.27911642,463.139074809,487.888855904
22,1306.051092,1224.66921225,1574.68785817,1802.12188971,1603.14518401
23,320.394581,419.339745126,403.910557863,353.596938868,412.549085061
24,296.619378,291.655485949,328.020531173,351.201020907,337.332967978
25,255.515232,234.125173664,220.806054233,164.702508029,219.711121251
26,843.308221,882.810647276,957.365370392,973.505846427,979.306232136
27,795.798252,822.524443215,960.351560105,1043.99756412,979.738367658
28,1271.316435,1148.68201872,1283.16340268,1342.1209371,1307.05330009
29,2620.536473,629.149334502,1176.92563101,1090.57338877,1127.56819852
30,411.352143,412.626351707,499.852578141,530.761447795,500.223391858
31,836.370844,951.005402627,971.768814351,894.10667791,974.853612726
32,1206.3391,846.643111229,972.25236455,1041.5615377,989.047880086
33,2294.053586,1947.6261882,2152.71943332,2238.24830709,2198.16881403
34,558.564325,458.294240134,520.786314939,540.459611484,525.917429041
35,1005.300627,933.024464278,1003.68030421,1039.56810993,1036.76657638
36,396.0,283.649028604,347.93315724,354.117734713,340.978278818
37,1682.99481,1376.99978184,1544.70584716,1674.12591664,1591.41426145
38,387.543493,556.412613485,544.140292333,445.660870867,541.321059257
39,1172.394364,814.170400812,1052.4565364,1230.77373052,1081.6896641
40,1054.035884,670.145245463,893.687607952,1028.86886343,904.599112412
41,994.0,727.588809338,838.84507652,875.747985744,844.218136389
42,914.863371,1136.99020452,1176.37640007,1092.60054058,1180.31821344
43,1521.922288,1712.50028819,1803.80071016,1829.00604407,1867.689653
44,2048.878168,2349.45449664,2605.71679329,2727.42228728,2663.19652876
45,229.726026,152.303294862,211.024018566,219.160673661,202.774656779
46,342.174901,294.991278581,311.741513012,333.195442766,328.778505902
